Property ID,Property Address,Borough,Neighborhood,Property Manager,Tenant ID,Tenant Name,Tenant Category,Tenant Status,Monthly Rent,Latest AR Month,Latest Outstanding Balance,Latest Aging Bucket,Latest Collection Priority,Total Outstanding Balance,Months With Balance,High or Critical Months,AR Risk Status
PROP-0088,148 EAST 24 STREET,Manhattan,GRAMERCY,Taylor Morgan,TEN-01108,Liberty Studio 1108,Healthcare,Active,18519.51,2025-12-01,18519.51,61-90,High,18519.51,12,1,High AR risk
PROP-0122,27 KING STREET,Manhattan,SOHO,Cameron Brooks,TEN-01474,Sterling Studio 1474,Residential,Month-to-Month,16427.58,2025-12-01,16427.58,31-60,Medium,24641.37,12,0,High AR risk
PROP-0135,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),Avery Johnson,TEN-01638,Evergreen Cafe 1638,Residential,Active,20663.96,2025-12-01,15497.97,31-60,Medium,15497.97,12,0,High AR risk
PROP-0018,260 BEACH 81 STREET,Queens,HAMMELS,Samira Khan,TEN-00210,Northstar Partners 210,Residential,Renewal Risk,30944.18,2025-12-01,15472.09,31-60,Medium,38680.23,12,0,High AR risk
PROP-0152,2803 OCEAN PARKWAY,Brooklyn,BRIGHTON BEACH,Avery Johnson,TEN-01860,Beacon Cafe 1860,Residential,Active,30609.6,2025-12-01,15304.8,1-30,Medium,15304.8,12,0,High AR risk
PROP-0138,63-36 99 STREET,Queens,REGO PARK,Cameron Brooks,TEN-01675,Harbor Services 1675,Office/Services,Active,55106.21,2025-12-01,13776.55,31-60,Medium,55106.21,12,1,High AR risk
PROP-0106,467 CENTRAL PARK WEST,Manhattan,MANHATTAN VALLEY,Cameron Brooks,TEN-01307,Beacon Labs 1307,Residential,Active,53811.28,2025-12-01,13452.82,90+,Critical,40358.46,12,1,Critical AR risk
PROP-0079,200 EAST 94 STREET,Manhattan,UPPER EAST SIDE (79-96),Morgan Patel,TEN-00989,Summit Fitness 989,Residential,Active,52626.72,2025-12-01,13156.68,1-30,Medium,13156.68,12,0,High AR risk
PROP-0142,83-09 TALBOT STREET,Queens,KEW GARDENS,Taylor Morgan,TEN-01735,Northstar Labs 1735,Residential,Month-to-Month,51029.68,2025-12-01,12757.42,31-60,Medium,12757.42,12,0,High AR risk
PROP-0173,420 LEXINGTON AVENUE,Brooklyn,BEDFORD STUYVESANT,Drew Thompson,TEN-02120,Atlas Services 2120,Residential,Active,12204.97,2025-12-01,12204.97,61-90,High,24409.94,12,2,High AR risk
PROP-0034,525 PARK AVENUE,Manhattan,UPPER EAST SIDE (59-79),Samira Khan,TEN-00414,Summit Fitness 414,Residential,Active,24242.39,2025-12-01,12121.2,31-60,Medium,36363.59,12,0,High AR risk
PROP-0025,100 STERLING PLACE,Brooklyn,PARK SLOPE,Drew Thompson,TEN-00301,Harbor Design 301,Office/Services,Active,22536.79,2025-12-01,11268.4,31-60,Medium,11268.4,12,0,High AR risk
PROP-0034,525 PARK AVENUE,Manhattan,UPPER EAST SIDE (59-79),Samira Khan,TEN-00416,Northstar Cafe 416,Retail,Active,22388.3,2025-12-01,11194.15,61-90,High,11194.15,12,1,High AR risk
PROP-0153,2280 FREDERICK DOUGLASS BLVD,Manhattan,HARLEM-CENTRAL,Jordan Lee,TEN-01865,Sterling Cafe 1865,Residential,Active,20688.35,2025-12-01,10344.17,1-30,Medium,10344.17,12,0,High AR risk
PROP-0047,3536 CAMBRIDGE AVENUE,Bronx,RIVERDALE,Drew Thompson,TEN-00569,Liberty Clinic 569,Residential,Active,40477.07,2025-12-01,10119.27,31-60,Medium,10119.27,12,0,High AR risk
PROP-0001,354 BROADWAY,Manhattan,CHINATOWN,Drew Thompson,TEN-00003,Cedar Holdings 3,Residential,Active,19735.47,2025-12-01,9867.74,1-30,Medium,9867.74,12,0,High AR risk
PROP-0111,260 PARK AVENUE SOUTH,Manhattan,FLATIRON,Casey Rivera,TEN-01362,Parkside Fitness 1362,Residential,Active,38926.42,2025-12-01,9731.6,31-60,Medium,9731.6,12,0,High AR risk
PROP-0061,4215 PARK AVENUE,Bronx,BATHGATE,Samira Khan,TEN-00744,Urban Fitness 744,Residential,Renewal Risk,36269.34,2025-12-01,9067.33,90+,Critical,9067.33,12,1,Critical AR risk
PROP-0103,7 GRAMERCY PARK WEST,Manhattan,GRAMERCY,Nadia Williams,TEN-01254,Urban Services 1254,Residential,Active,10770.75,2025-12-01,8078.06,1-30,Medium,8078.06,12,0,High AR risk
PROP-0001,354 BROADWAY,Manhattan,CHINATOWN,Drew Thompson,TEN-00006,Brightline Design 6,Residential,Active,32142.17,2025-12-01,8035.54,61-90,High,8035.54,12,1,High AR risk
PROP-0049,220 EAST 60 STREET,Manhattan,UPPER EAST SIDE (59-79),Avery Johnson,TEN-00598,Sterling Holdings 598,Residential,Active,15943.97,2025-12-01,7971.98,61-90,High,7971.98,12,1,High AR risk
PROP-0065,3427 BRUCKNER BOULEVARD,Bronx,SCHUYLERVILLE/PELHAM BAY,Morgan Patel,TEN-00786,Beacon Services 786,Residential,Active,10345.49,2025-12-01,7759.12,90+,Critical,31036.47,12,1,Critical AR risk
PROP-0049,220 EAST 60 STREET,Manhattan,UPPER EAST SIDE (59-79),Avery Johnson,TEN-00594,Parkside Holdings 594,Residential,Active,14897.67,2025-12-01,7448.84,1-30,Medium,7448.84,12,0,High AR risk
PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Nadia Williams,TEN-00161,Cedar Services 161,Office/Services,Renewal Risk,14154.68,2025-12-01,7077.34,31-60,Medium,17693.35,12,0,High AR risk
PROP-0045,55 3 AVENUE,Manhattan,EAST VILLAGE,Casey Rivera,TEN-00540,Evergreen Pharmacy 540,Residential,Active,8510.09,2025-12-01,6382.57,31-60,Medium,6382.57,12,0,High AR risk
PROP-0036,130 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Drew Thompson,TEN-00438,Parkside Cafe 438,Retail,Active,12763.03,2025-12-01,6381.52,1-30,Medium,12763.04,12,0,High AR risk
PROP-0036,130 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Drew Thompson,TEN-00429,Parkside Studio 429,Residential,Active,6212.34,2025-12-01,6212.34,31-60,Medium,6212.34,12,0,High AR risk
PROP-0031,40 WEST 55 STREET,Manhattan,MIDTOWN WEST,Riley Chen,TEN-00373,Summit Partners 373,Residential,Active,11987.72,2025-12-01,5993.86,1-30,Medium,5993.86,12,0,High AR risk
PROP-0131,139-30 34 AVENUE,Queens,FLUSHING-NORTH,Casey Rivera,TEN-01590,Pioneer Design 1590,Retail,Active,11664.44,2025-12-01,5832.22,1-30,Medium,5832.22,12,0,High AR risk
PROP-0124,2132 2 AVENUE,Manhattan,HARLEM-EAST,Jordan Lee,TEN-01499,Vista Holdings 1499,Office/Services,Active,7426.41,2025-12-01,5569.81,61-90,High,5569.81,12,1,High AR risk
PROP-0044,1019 SOUTHERN BOULEVARD,Bronx,MORRISANIA/LONGWOOD,Avery Johnson,TEN-00539,Apex Clinic 539,Office/Services,Month-to-Month,6845.15,2025-12-01,5133.86,31-60,Medium,5133.86,12,0,High AR risk
PROP-0019,29 SOUTH 3 STREET,Brooklyn,WILLIAMSBURG-SOUTH,Riley Chen,TEN-00227,Metro Studio 227,Retail,Active,6628.46,2025-12-01,4971.34,1-30,Medium,6628.46,12,0,High AR risk
PROP-0134,755 40 STREET,Brooklyn,SUNSET PARK,Samira Khan,TEN-01632,Urban Fitness 1632,Retail,Renewal Risk,4888.83,2025-12-01,4888.83,90+,Critical,4888.83,12,1,Critical AR risk
PROP-0172,156 SACKETT STREET,Brooklyn,COBBLE HILL-WEST,Riley Chen,TEN-02108,Parkside Labs 2108,Healthcare,Active,6411.9,2025-12-01,4808.92,1-30,Medium,11220.82,12,0,High AR risk
PROP-0151,140 NORTH 6 STREET,Brooklyn,WILLIAMSBURG-NORTH,Jordan Lee,TEN-01839,Urban Group 1839,Residential,Active,7916.32,2025-12-01,3958.16,31-60,Medium,5937.24,12,0,High AR risk
PROP-0075,61-05 39 AVENUE,Queens,WOODSIDE,Morgan Patel,TEN-00925,Liberty Clinic 925,Residential,Active,15308.31,2025-12-01,3827.08,1-30,Medium,3827.08,12,0,High AR risk
PROP-0078,250 EAST HOUSTON STREET,Manhattan,ALPHABET CITY,Avery Johnson,TEN-00967,Summit Clinic 967,Fitness/Wellness,Active,7575.84,2025-12-01,3787.92,31-60,Medium,3787.92,12,0,High AR risk
PROP-0007,51 EAST 131 STREET,Manhattan,HARLEM-CENTRAL,Taylor Morgan,TEN-00073,Cornerstone Cafe 73,Residential,Renewal Risk,5038.02,2025-12-01,3778.52,90+,Critical,10076.05,12,1,Critical AR risk
PROP-0141,645 LEFFERTS AVENUE,Brooklyn,FLATBUSH-NORTH,Avery Johnson,TEN-01719,Cornerstone Partners 1719,Residential,Active,3758.02,2025-12-01,3758.02,1-30,Medium,7516.04,12,0,High AR risk
PROP-0114,245 WEST 115 STREET,Manhattan,HARLEM-CENTRAL,Drew Thompson,TEN-01403,Atlas Fitness 1403,Residential,Active,3513.0,2025-12-01,3513.0,1-30,Medium,3513.0,12,0,High AR risk
PROP-0081,14 EAST 33 STREET,Manhattan,MURRAY HILL,Riley Chen,TEN-01012,Beacon Market 1012,Food & Beverage,Active,3418.71,2025-12-01,3418.71,1-30,Medium,3418.71,12,0,High AR risk
PROP-0099,30 RUTGERS STREET,Manhattan,LOWER EAST SIDE,Riley Chen,TEN-01214,Brightline Partners 1214,Retail,Active,3378.38,2025-12-01,3378.38,61-90,High,4222.98,12,2,High AR risk
PROP-0001,354 BROADWAY,Manhattan,CHINATOWN,Drew Thompson,TEN-00001,Pioneer Labs 1,Food & Beverage,Renewal Risk,4326.35,2025-12-01,3244.76,31-60,Medium,7571.11,12,0,High AR risk
PROP-0118,195 HUDSON STREET,Manhattan,TRIBECA,Riley Chen,TEN-01433,Beacon Consulting 1433,Retail,Active,11854.36,2025-12-01,2963.59,90+,Critical,5927.18,12,1,Critical AR risk
PROP-0101,63-26 99 STREET,Queens,REGO PARK,Drew Thompson,TEN-01237,Brightline Market 1237,Residential,Active,2904.44,2025-12-01,2904.44,1-30,Medium,2904.44,12,0,High AR risk
PROP-0087,599 4 AVENUE,Brooklyn,SUNSET PARK,Jordan Lee,TEN-01103,Hudson Fitness 1103,Residential,Active,5462.95,2025-12-01,2731.48,1-30,Medium,2731.48,12,0,High AR risk
PROP-0085,102 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Nadia Williams,TEN-01071,Apex Retail 1071,Retail,Renewal Risk,10556.34,2025-12-01,2639.08,1-30,Medium,5278.16,12,1,High AR risk
PROP-0052,150 EAST 37 STREET,Manhattan,MURRAY HILL,Riley Chen,TEN-00633,Summit Services 633,Residential,Active,10525.39,2025-12-01,2631.35,31-60,Medium,2631.35,12,0,High AR risk
PROP-0106,467 CENTRAL PARK WEST,Manhattan,MANHATTAN VALLEY,Cameron Brooks,TEN-01310,Apex Labs 1310,Residential,Active,9950.78,2025-12-01,2487.7,1-30,Medium,2487.7,12,0,High AR risk
PROP-0062,380 NEPTUNE AVENUE,Brooklyn,BRIGHTON BEACH,Drew Thompson,TEN-00767,Pioneer Cafe 767,Residential,Active,9943.38,2025-12-01,2485.84,1-30,Medium,7457.53,12,0,High AR risk
PROP-0059,31 MONROE STREET,Manhattan,LOWER EAST SIDE,Riley Chen,TEN-00716,Hudson Design 716,Residential,Active,3182.74,2025-12-01,2387.05,1-30,Medium,2387.05,12,0,High AR risk
PROP-0056,3015 BRIGHTON 6 STREET,Brooklyn,BRIGHTON BEACH,Samira Khan,TEN-00679,Brightline Partners 679,Residential,Active,9512.77,2025-12-01,2378.19,31-60,Medium,9512.77,12,0,High AR risk
PROP-0057,727 OCEAN VIEW AVENUE,Brooklyn,BRIGHTON BEACH,Riley Chen,TEN-00685,Northstar Consulting 685,Residential,Month-to-Month,9193.19,2025-12-01,2298.3,31-60,Medium,2298.3,12,0,High AR risk
PROP-0086,11-24 31 AVENUE,Queens,ASTORIA,Casey Rivera,TEN-01091,Hudson Cafe 1091,Residential,Active,8966.41,2025-12-01,2241.6,31-60,Medium,2241.6,12,0,High AR risk
PROP-0005,680 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,Taylor Morgan,TEN-00050,Sterling Retail 50,Residential,Active,2232.38,2025-12-01,2232.38,31-60,Medium,3348.57,12,0,High AR risk
PROP-0035,2833 FORD STREET,Brooklyn,SHEEPSHEAD BAY,Samira Khan,TEN-00419,Cedar Pharmacy 419,Residential,Active,7993.51,2025-12-01,1998.38,61-90,High,5995.14,12,1,High AR risk
PROP-0138,63-36 99 STREET,Queens,REGO PARK,Cameron Brooks,TEN-01682,Cedar Market 1682,Residential,Active,7562.89,2025-12-01,1890.72,90+,Critical,3781.44,12,1,Critical AR risk
PROP-0114,245 WEST 115 STREET,Manhattan,HARLEM-CENTRAL,Drew Thompson,TEN-01402,Urban Holdings 1402,Residential,Active,3497.78,2025-12-01,1748.89,90+,Critical,3497.78,12,1,Critical AR risk
PROP-0050,57 MASPETH AVENUE,Brooklyn,WILLIAMSBURG-EAST,Taylor Morgan,TEN-00608,Evergreen Partners 608,Residential,Active,2156.53,2025-12-01,1617.4,61-90,High,1617.4,12,1,High AR risk
PROP-0109,121 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,Drew Thompson,TEN-01346,Summit Design 1346,Residential,Renewal Risk,6456.33,2025-12-01,1614.08,1-30,Medium,4842.24,12,0,High AR risk
PROP-0112,45 EAST 80 STREET,Manhattan,UPPER EAST SIDE (79-96),Riley Chen,TEN-01374,Pioneer Group 1374,Residential,Active,6275.43,2025-12-01,1568.86,1-30,Medium,1568.86,12,0,High AR risk
PROP-0045,55 3 AVENUE,Manhattan,EAST VILLAGE,Casey Rivera,TEN-00547,Northstar Holdings 547,Residential,Active,5469.12,2025-12-01,1367.28,61-90,High,1367.28,12,1,High AR risk
PROP-0114,245 WEST 115 STREET,Manhattan,HARLEM-CENTRAL,Drew Thompson,TEN-01394,Liberty Pharmacy 1394,Residential,Active,2627.57,2025-12-01,1313.78,1-30,Medium,1313.78,12,0,High AR risk
PROP-0123,2185 ADAM C. POWELL BOULEVARD,Manhattan,HARLEM-CENTRAL,Riley Chen,TEN-01488,Brightline Partners 1488,Residential,Active,5207.42,2025-12-01,1301.86,31-60,Medium,3905.57,12,0,High AR risk
PROP-0057,727 OCEAN VIEW AVENUE,Brooklyn,BRIGHTON BEACH,Riley Chen,TEN-00688,Parkside Group 688,Residential,Active,4631.97,2025-12-01,1157.99,1-30,Medium,5789.96,12,0,High AR risk
PROP-0058,65-38 AUSTIN STREET,Queens,REGO PARK,Samira Khan,TEN-00713,Cedar Group 713,Residential,Active,4552.5,2025-12-01,1138.12,31-60,Medium,1138.12,12,0,High AR risk
PROP-0024,359 16 STREET,Brooklyn,PARK SLOPE SOUTH,Taylor Morgan,TEN-00291,Brightline Holdings 291,Retail,Active,4452.64,2025-12-01,1113.16,31-60,Medium,1113.16,12,0,High AR risk
PROP-0059,31 MONROE STREET,Manhattan,LOWER EAST SIDE,Riley Chen,TEN-00717,Harbor Retail 717,Residential,Active,4353.44,2025-12-01,1088.36,1-30,Medium,1088.36,12,0,High AR risk
PROP-0007,51 EAST 131 STREET,Manhattan,HARLEM-CENTRAL,Taylor Morgan,TEN-00076,Northstar Services 76,Residential,Active,4045.56,2025-12-01,1011.39,90+,Critical,1011.39,12,1,Critical AR risk
PROP-0050,57 MASPETH AVENUE,Brooklyn,WILLIAMSBURG-EAST,Taylor Morgan,TEN-00612,Vista Clinic 612,Residential,Active,1955.82,2025-12-01,977.91,90+,Critical,977.91,12,1,Critical AR risk
PROP-0042,205 BLEECKER STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,Casey Rivera,TEN-00515,Harbor Market 515,Healthcare,Active,3196.17,2025-12-01,799.04,31-60,Medium,799.04,12,0,High AR risk
PROP-0014,56-16 SEABURY STREET,Queens,ELMHURST,Drew Thompson,TEN-00172,Atlas Services 172,Residential,Active,1044.66,2025-12-01,783.5,31-60,Medium,1044.67,12,1,High AR risk
PROP-0141,645 LEFFERTS AVENUE,Brooklyn,FLATBUSH-NORTH,Avery Johnson,TEN-01724,Northstar Consulting 1724,Residential,Month-to-Month,995.84,2025-12-01,746.88,61-90,High,1742.72,12,2,High AR risk
PROP-0022,2408 OCEAN AVENUE,Brooklyn,MADISON,Avery Johnson,TEN-00270,Liberty Cafe 270,Residential,Active,1480.38,2025-12-01,740.19,61-90,High,740.19,12,1,High AR risk
PROP-0006,999 FOREST AVENUE,Staten Island,WEST NEW BRIGHTON,Samira Khan,TEN-00058,Cornerstone Clinic 58,Residential,Active,2818.89,2025-12-01,704.72,31-60,Medium,704.72,12,0,High AR risk
PROP-0026,94 SKILLMAN STREET,Brooklyn,BEDFORD STUYVESANT,Jordan Lee,TEN-00314,Evergreen Group 314,Residential,Active,2268.01,2025-12-01,567.0,31-60,Medium,567.0,12,0,High AR risk
PROP-0057,727 OCEAN VIEW AVENUE,Brooklyn,BRIGHTON BEACH,Riley Chen,TEN-00687,Metro Consulting 687,Residential,Month-to-Month,1110.38,2025-12-01,555.19,31-60,Medium,1665.57,12,1,High AR risk
PROP-0017,316 WEST 116 STREET,Manhattan,MANHATTAN VALLEY,Samira Khan,TEN-00206,Apex Holdings 206,Residential,Active,2141.7,2025-12-01,535.42,1-30,Medium,535.42,12,0,High AR risk
PROP-0006,999 FOREST AVENUE,Staten Island,WEST NEW BRIGHTON,Samira Khan,TEN-00061,Urban Studio 61,Residential,Active,900.0,2025-12-01,450.0,61-90,High,1125.0,12,1,High AR risk
PROP-0028,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,Cameron Brooks,TEN-00346,Metro Services 346,Residential,Active,1508.55,2025-12-01,377.14,31-60,Medium,377.14,12,0,High AR risk
PROP-0024,359 16 STREET,Brooklyn,PARK SLOPE SOUTH,Taylor Morgan,TEN-00285,Vista Consulting 285,Residential,Active,1054.99,2025-12-01,263.75,1-30,Medium,263.75,12,0,High AR risk
PROP-0090,59 CONSELYEA STREET,Brooklyn,WILLIAMSBURG-EAST,Cameron Brooks,TEN-01134,Evergreen Clinic 1134,Office/Services,Active,953.24,2025-12-01,238.31,1-30,Medium,238.31,12,0,High AR risk
PROP-0090,59 CONSELYEA STREET,Brooklyn,WILLIAMSBURG-EAST,Cameron Brooks,TEN-01141,Beacon Pharmacy 1141,Residential,Active,927.75,2025-12-01,231.94,61-90,High,231.94,12,1,High AR risk
PROP-0070,48 EAST END AVENUE,Manhattan,UPPER EAST SIDE (79-96),Morgan Patel,TEN-00847,Atlas Market 847,Retail,Active,900.0,2025-12-01,225.0,90+,Critical,225.0,12,1,Critical AR risk
PROP-0073,1530 EAST 15 STREET,Brooklyn,MIDWOOD,Cameron Brooks,TEN-00886,Brightline Fitness 886,Residential,Active,900.0,2025-12-01,225.0,61-90,High,225.0,12,1,High AR risk
PROP-0060,200 EAST 58 STREET,Manhattan,MIDTOWN EAST,Casey Rivera,TEN-00727,Summit Design 727,Healthcare,Active,60619.53,2025-12-01,0.0,Current,Low,106084.17,12,2,High AR risk
PROP-0046,755 KENT AVENUE,Brooklyn,WILLIAMSBURG-CENTRAL,Riley Chen,TEN-00554,Summit Fitness 554,Office/Services,Month-to-Month,29589.19,2025-12-01,0.0,Current,Low,66575.68,12,2,High AR risk
PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Nadia Williams,TEN-00154,Summit Consulting 154,Office/Services,Active,31877.89,2025-12-01,0.0,Current,Low,55786.31,12,2,High AR risk
PROP-0158,31 NORTH MOORE STREET,Manhattan,TRIBECA,Avery Johnson,TEN-01938,Harbor Fitness 1938,Residential,Month-to-Month,18373.71,2025-12-01,0.0,Current,Low,36747.42,12,2,High AR risk
PROP-0049,220 EAST 60 STREET,Manhattan,UPPER EAST SIDE (59-79),Avery Johnson,TEN-00597,Atlas Cafe 597,Residential,Month-to-Month,23289.08,2025-12-01,0.0,Current,Low,34933.62,12,2,High AR risk
PROP-0078,250 EAST HOUSTON STREET,Manhattan,ALPHABET CITY,Avery Johnson,TEN-00961,Cedar Studio 961,Food & Beverage,Active,21868.88,2025-12-01,0.0,Current,Low,32803.32,12,2,High AR risk
PROP-0161,491 GREENWICH STREET,Manhattan,SOHO,Samira Khan,TEN-01978,Vista Retail 1978,Residential,Active,40744.14,2025-12-01,0.0,Current,Low,30558.11,12,2,High AR risk
PROP-0033,550 VANDERBILT AVENUE,Brooklyn,PROSPECT HEIGHTS,Nadia Williams,TEN-00395,Metro Group 395,Residential,Active,10163.81,2025-12-01,0.0,Current,Low,20327.62,12,2,High AR risk
PROP-0140,80 RICHMOND HILL ROAD,Staten Island,NEW SPRINGVILLE,Taylor Morgan,TEN-01706,Metro Market 1706,Residential,Active,23169.83,2025-12-01,0.0,Current,Low,17377.38,12,2,High AR risk
PROP-0069,90 BAY STREET LANDING,Staten Island,NEW BRIGHTON-ST. GEORGE,Jordan Lee,TEN-00836,Beacon Group 836,Food & Beverage,Renewal Risk,16476.15,2025-12-01,0.0,Current,Low,16476.16,12,2,High AR risk
PROP-0041,601 WEST 41 STREET,Manhattan,CLINTON,Nadia Williams,TEN-00495,Cornerstone Fitness 495,Residential,Active,10195.66,2025-12-01,0.0,Current,Low,15293.49,12,2,High AR risk
PROP-0124,2132 2 AVENUE,Manhattan,HARLEM-EAST,Jordan Lee,TEN-01503,Parkside Group 1503,Residential,Renewal Risk,10860.7,2025-12-01,0.0,Current,Low,13575.88,12,2,High AR risk
PROP-0030,200 SOUTH 2 STREET,Brooklyn,WILLIAMSBURG-SOUTH,Avery Johnson,TEN-00370,Cedar Design 370,Residential,Renewal Risk,8528.6,2025-12-01,0.0,Current,Low,12792.9,12,2,High AR risk
PROP-0043,376 WALLABOUT STREET,Brooklyn,WILLIAMSBURG-CENTRAL,Taylor Morgan,TEN-00529,Cedar Market 529,Fitness/Wellness,Active,5551.36,2025-12-01,0.0,Current,Low,6939.2,12,2,High AR risk
PROP-0128,285 DRIGGS AVENUE,Brooklyn,GREENPOINT,Jordan Lee,TEN-01552,Harbor Retail 1552,Residential,Active,2331.46,2025-12-01,0.0,Current,Low,6411.52,12,2,High AR risk
PROP-0087,599 4 AVENUE,Brooklyn,SUNSET PARK,Jordan Lee,TEN-01105,Evergreen Pharmacy 1105,Residential,Active,1824.31,2025-12-01,0.0,Current,Low,3648.62,12,2,High AR risk
PROP-0155,120 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,Taylor Morgan,TEN-01897,Liberty Group 1897,Residential,Active,3205.12,2025-12-01,0.0,Current,Low,2403.84,12,2,High AR risk
PROP-0053,235 OCEAN PARKWAY,Brooklyn,KENSINGTON,Jordan Lee,TEN-00647,Beacon Fitness 647,Residential,Active,3643.81,2025-12-01,0.0,Current,Low,1821.9,12,2,High AR risk
PROP-0170,465 WEST 23 STREET,Manhattan,CHELSEA,Casey Rivera,TEN-02082,Hudson Studio 2082,Residential,Active,452111.53,2025-12-01,0.0,Current,Low,226055.76,12,1,High AR risk
PROP-0110,339 EAST 74 STREET,Manhattan,UPPER EAST SIDE (59-79),Riley Chen,TEN-01357,Cornerstone Services 1357,Residential,Month-to-Month,99307.15,2025-12-01,0.0,Current,Low,223441.09,12,1,High AR risk
PROP-0002,7 NAVY PIER COURT,Staten Island,TOMPKINSVILLE,Cameron Brooks,TEN-00017,Cornerstone Partners 17,Residential,Active,250074.45,2025-12-01,0.0,Current,Low,187555.84,12,1,High AR risk
PROP-0132,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Taylor Morgan,TEN-01607,Beacon Partners 1607,Residential,Renewal Risk,148994.92,2025-12-01,0.0,Current,Low,186243.65,12,1,High AR risk
PROP-0145,255 WEST 84 STREET,Manhattan,UPPER WEST SIDE (79-96),Taylor Morgan,TEN-01779,Apex Retail 1779,Residential,Active,192461.92,2025-12-01,0.0,Current,Low,144346.44,12,1,High AR risk
PROP-0170,465 WEST 23 STREET,Manhattan,CHELSEA,Casey Rivera,TEN-02081,Vista Cafe 2081,Residential,Active,269423.32,2025-12-01,0.0,Current,Low,134711.66,12,1,High AR risk
PROP-0036,130 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Drew Thompson,TEN-00435,Cornerstone Consulting 435,Residential,Active,106610.81,2025-12-01,0.0,Current,Low,133263.51,12,1,High AR risk
PROP-0132,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Taylor Morgan,TEN-01603,Summit Fitness 1603,Food & Beverage,Renewal Risk,161147.21,2025-12-01,0.0,Current,Low,120860.4,12,1,High AR risk
PROP-0016,252 7 AVENUE,Manhattan,CHELSEA,Riley Chen,TEN-00187,Urban Holdings 187,Residential,Active,235821.88,2025-12-01,0.0,Current,Low,117910.94,12,1,High AR risk
PROP-0135,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),Avery Johnson,TEN-01644,Hudson Market 1644,Residential,Renewal Risk,146626.63,2025-12-01,0.0,Current,Low,109969.97,12,1,High AR risk
