work_order_id,property_id,tenant_id,opened_date,closed_date,work_order_category,priority,status,sla_days,days_to_close,overdue_flag,estimated_cost,vendor_id,vendor_name,synthetic_record
WO-0000020,PROP-0002,,2025-01-09,2025-01-10,Electrical,Medium,Closed,7,1,False,277.53,VEND-010,FrontDesk Patrol,True
WO-0000021,PROP-0002,TEN-00014,2025-01-05,2025-01-08,Preventive Maintenance,High,Closed,3,3,False,82.4,VEND-012,Sparkle Janitorial,True
WO-0000022,PROP-0002,TEN-00016,2025-01-16,2025-01-22,Plumbing,Medium,Closed,7,6,False,135.8,VEND-009,Guardian Security,True
WO-0000023,PROP-0002,TEN-00019,2025-02-14,2025-03-02,Security,High,Closed,3,16,True,1072.03,VEND-002,Skyline Maintenance,True
WO-0000024,PROP-0002,TEN-00016,2025-02-11,2025-02-28,Plumbing,Low,Closed,14,17,True,348.7,VEND-012,Sparkle Janitorial,True
WO-0000025,PROP-0002,TEN-00018,2025-02-13,,Tenant Request,Low,Open,14,,True,118.54,VEND-011,CleanCore Services,True
WO-0000026,PROP-0002,TEN-00016,2025-02-22,2025-02-26,Elevator,Medium,Closed,7,4,False,218.04,VEND-012,Sparkle Janitorial,True
WO-0000027,PROP-0002,,2025-02-25,,Janitorial,Medium,In Progress,7,,False,577.71,VEND-004,Ace Plumbing,True
WO-0000028,PROP-0002,,2025-02-18,,Common Area,Medium,Open,7,,True,679.7,VEND-003,Metro Mechanical,True
WO-0000029,PROP-0002,,2025-02-02,2025-02-07,Preventive Maintenance,Medium,Closed,7,5,False,1190.77,VEND-011,CleanCore Services,True
WO-0000030,PROP-0002,,2025-02-03,2025-02-16,Janitorial,Low,Closed,14,13,False,55.97,VEND-011,CleanCore Services,True
WO-0000031,PROP-0002,TEN-00015,2025-02-14,2025-02-20,Plumbing,Low,Closed,14,6,False,408.95,VEND-005,Bright Electric,True
WO-0000032,PROP-0002,,2025-03-10,2025-03-11,Elevator,Medium,Closed,7,1,False,351.42,VEND-004,Ace Plumbing,True
WO-0000033,PROP-0002,TEN-00013,2025-03-21,2025-03-24,HVAC,Medium,Closed,7,3,False,454.95,VEND-001,Rapid Repair Co,True
WO-0000034,PROP-0002,TEN-00019,2025-03-24,2025-03-31,HVAC,Medium,Closed,7,7,False,190.21,VEND-004,Ace Plumbing,True
WO-0000035,PROP-0002,TEN-00019,2025-03-26,2025-03-29,HVAC,High,Closed,3,3,False,2163.56,VEND-010,FrontDesk Patrol,True
WO-0000036,PROP-0002,TEN-00017,2025-03-07,2025-03-09,Plumbing,High,Closed,3,2,False,901.22,VEND-010,FrontDesk Patrol,True
WO-0000037,PROP-0002,,2025-04-07,,Common Area,High,In Progress,3,,True,1873.34,VEND-011,CleanCore Services,True
WO-0000038,PROP-0002,TEN-00020,2025-04-07,2025-04-09,Security,High,Closed,3,2,False,684.17,VEND-004,Ace Plumbing,True
WO-0000039,PROP-0002,,2025-04-07,2025-04-10,Tenant Request,High,Closed,3,3,False,2984.22,VEND-003,Metro Mechanical,True
WO-0000040,PROP-0002,,2025-04-09,2025-04-28,Tenant Request,High,Closed,3,19,True,803.04,VEND-001,Rapid Repair Co,True
WO-0000041,PROP-0002,TEN-00014,2025-04-23,2025-04-26,Security,Low,Closed,14,3,False,350.09,VEND-009,Guardian Security,True
WO-0000042,PROP-0002,,2025-04-12,,Preventive Maintenance,Medium,In Progress,7,,False,344.85,VEND-009,Guardian Security,True
WO-0000043,PROP-0002,,2025-04-17,2025-04-24,Common Area,Medium,Closed,7,7,False,129.74,VEND-005,Bright Electric,True
WO-0000044,PROP-0002,,2025-04-04,2025-04-13,Common Area,Low,Closed,14,9,False,454.09,VEND-010,FrontDesk Patrol,True
WO-0000045,PROP-0002,,2025-05-07,,Common Area,Medium,Open,7,,False,723.42,VEND-009,Guardian Security,True
WO-0000046,PROP-0002,TEN-00019,2025-05-03,2025-05-05,Electrical,High,Closed,3,2,False,1937.72,VEND-012,Sparkle Janitorial,True
WO-0000047,PROP-0002,TEN-00016,2025-05-18,2025-05-25,Tenant Request,Medium,Closed,7,7,False,211.3,VEND-003,Metro Mechanical,True
WO-0000048,PROP-0002,TEN-00014,2025-05-23,2025-05-27,Janitorial,Medium,Closed,7,4,False,684.67,VEND-010,FrontDesk Patrol,True
WO-0000049,PROP-0002,TEN-00017,2025-05-20,2025-05-25,Janitorial,Low,Closed,14,5,False,365.87,VEND-010,FrontDesk Patrol,True
WO-0000050,PROP-0002,,2025-06-09,2025-06-11,Tenant Request,Medium,Closed,7,2,False,73.29,VEND-004,Ace Plumbing,True
WO-0000051,PROP-0002,TEN-00016,2025-06-21,2025-07-13,Elevator,Medium,Closed,7,22,True,587.59,VEND-001,Rapid Repair Co,True
WO-0000052,PROP-0002,TEN-00016,2025-06-17,,Elevator,Low,In Progress,14,,False,453.07,VEND-003,Metro Mechanical,True
WO-0000053,PROP-0002,,2025-06-19,2025-06-24,HVAC,Low,Closed,14,5,False,168.23,VEND-010,FrontDesk Patrol,True
WO-0000054,PROP-0002,,2025-06-15,,Janitorial,Low,Open,14,,False,598.9,VEND-012,Sparkle Janitorial,True
WO-0000055,PROP-0002,TEN-00018,2025-06-23,,Janitorial,Medium,In Progress,7,,False,241.79,VEND-004,Ace Plumbing,True
WO-0000056,PROP-0002,TEN-00013,2025-06-20,,Janitorial,Medium,Open,7,,True,179.72,VEND-004,Ace Plumbing,True
WO-0000057,PROP-0002,,2025-06-25,2025-07-02,Electrical,Medium,Closed,7,7,False,346.13,VEND-012,Sparkle Janitorial,True
WO-0000058,PROP-0002,,2025-06-03,,HVAC,Medium,Open,7,,False,229.77,VEND-011,CleanCore Services,True
WO-0000059,PROP-0002,TEN-00019,2025-06-27,2025-07-21,HVAC,Medium,Closed,7,24,True,1098.79,VEND-001,Rapid Repair Co,True
WO-0000060,PROP-0002,,2025-07-03,2025-07-05,Preventive Maintenance,High,Closed,3,2,False,574.99,VEND-003,Metro Mechanical,True
WO-0000061,PROP-0002,TEN-00015,2025-07-17,,HVAC,Medium,In Progress,7,,False,93.16,VEND-003,Metro Mechanical,True
WO-0000062,PROP-0002,TEN-00015,2025-07-19,2025-08-16,Common Area,Low,Closed,14,28,True,73.13,VEND-012,Sparkle Janitorial,True
WO-0000063,PROP-0002,TEN-00019,2025-07-06,2025-07-07,Janitorial,Low,Closed,14,1,False,197.0,VEND-011,CleanCore Services,True
WO-0000064,PROP-0002,TEN-00013,2025-07-04,2025-07-06,Electrical,Medium,Closed,7,2,False,444.9,VEND-004,Ace Plumbing,True
WO-0000065,PROP-0002,,2025-07-19,,Tenant Request,Low,Open,14,,False,582.98,VEND-003,Metro Mechanical,True
WO-0000066,PROP-0002,,2025-08-01,,Preventive Maintenance,Medium,Open,7,,True,1147.48,VEND-009,Guardian Security,True
WO-0000067,PROP-0002,TEN-00020,2025-08-01,,Tenant Request,Medium,In Progress,7,,False,259.35,VEND-009,Guardian Security,True
WO-0000068,PROP-0002,TEN-00013,2025-08-16,2025-08-30,Janitorial,Low,Closed,14,14,False,233.6,VEND-001,Rapid Repair Co,True
WO-0000069,PROP-0002,,2025-09-10,,Janitorial,Low,Open,14,,False,245.03,VEND-009,Guardian Security,True
WO-0000070,PROP-0002,,2025-09-20,2025-09-27,Security,Medium,Closed,7,7,False,758.48,VEND-005,Bright Electric,True
WO-0000071,PROP-0002,,2025-09-18,2025-09-25,Security,High,Closed,3,7,True,379.23,VEND-010,FrontDesk Patrol,True
WO-0000072,PROP-0002,TEN-00015,2025-09-04,2025-09-09,HVAC,Low,Closed,14,5,False,388.4,VEND-002,Skyline Maintenance,True
WO-0000073,PROP-0002,TEN-00019,2025-10-20,,Preventive Maintenance,Medium,In Progress,7,,False,233.41,VEND-010,FrontDesk Patrol,True
WO-0000074,PROP-0002,TEN-00015,2025-10-01,,Electrical,Low,Open,14,,False,66.97,VEND-001,Rapid Repair Co,True
WO-0000075,PROP-0002,TEN-00015,2025-10-21,2025-10-23,HVAC,High,Closed,3,2,False,591.07,VEND-009,Guardian Security,True
WO-0000076,PROP-0002,TEN-00016,2025-10-24,2025-10-25,Elevator,High,Closed,3,1,False,790.92,VEND-004,Ace Plumbing,True
WO-0000077,PROP-0002,TEN-00015,2025-11-23,2025-11-30,Security,Low,Closed,14,7,False,102.07,VEND-012,Sparkle Janitorial,True
WO-0000078,PROP-0002,,2025-11-08,2025-11-10,Common Area,Low,Closed,14,2,False,409.27,VEND-011,CleanCore Services,True
WO-0000079,PROP-0002,TEN-00015,2025-11-17,2025-11-18,Elevator,Medium,Closed,7,1,False,1589.54,VEND-001,Rapid Repair Co,True
WO-0000080,PROP-0002,TEN-00015,2025-11-01,2025-11-03,HVAC,Medium,Closed,7,2,False,54.46,VEND-012,Sparkle Janitorial,True
WO-0000081,PROP-0002,,2025-11-04,2025-11-08,Preventive Maintenance,Low,Closed,14,4,False,200.84,VEND-010,FrontDesk Patrol,True
WO-0000082,PROP-0002,TEN-00019,2025-11-21,,HVAC,Medium,Open,7,,False,492.01,VEND-010,FrontDesk Patrol,True
WO-0000083,PROP-0002,,2025-12-08,2025-12-13,Electrical,Medium,Closed,7,5,False,942.3,VEND-009,Guardian Security,True
WO-0000084,PROP-0002,,2025-12-26,,Janitorial,Medium,In Progress,7,,False,891.51,VEND-002,Skyline Maintenance,True
WO-0000085,PROP-0002,TEN-00015,2025-12-21,,HVAC,High,Open,3,,True,363.7,VEND-005,Bright Electric,True
WO-0000086,PROP-0002,,2025-12-22,2026-01-02,Elevator,Low,Closed,14,11,False,270.75,VEND-004,Ace Plumbing,True
WO-0000087,PROP-0002,TEN-00017,2025-12-10,2025-12-16,Security,Medium,Closed,7,6,False,663.75,VEND-005,Bright Electric,True
WO-0000088,PROP-0002,,2025-12-01,2025-12-03,Common Area,Medium,Closed,7,2,False,414.04,VEND-001,Rapid Repair Co,True
WO-0000089,PROP-0002,TEN-00015,2025-12-07,,Preventive Maintenance,Medium,In Progress,7,,False,92.37,VEND-010,FrontDesk Patrol,True
WO-0000090,PROP-0003,TEN-00023,2025-02-20,2025-03-10,HVAC,Medium,Closed,7,18,True,613.86,VEND-005,Bright Electric,True
WO-0000091,PROP-0003,TEN-00025,2025-03-02,2025-03-05,Elevator,High,Closed,3,3,False,206.43,VEND-004,Ace Plumbing,True
WO-0000092,PROP-0003,,2025-03-04,,Electrical,Medium,In Progress,7,,False,1356.69,VEND-012,Sparkle Janitorial,True
WO-0000093,PROP-0003,,2025-04-15,2025-04-17,Plumbing,High,Closed,3,2,False,1048.12,VEND-001,Rapid Repair Co,True
WO-0000094,PROP-0003,TEN-00029,2025-05-11,,Common Area,Medium,Open,7,,False,881.07,VEND-012,Sparkle Janitorial,True
WO-0000095,PROP-0003,TEN-00029,2025-05-13,2025-05-15,Tenant Request,Low,Closed,14,2,False,206.7,VEND-002,Skyline Maintenance,True
WO-0000096,PROP-0003,TEN-00024,2025-07-16,,Tenant Request,High,Open,3,,True,522.71,VEND-010,FrontDesk Patrol,True
WO-0000097,PROP-0003,TEN-00025,2025-08-16,2025-08-18,Preventive Maintenance,Low,Closed,14,2,False,111.9,VEND-005,Bright Electric,True
WO-0000098,PROP-0003,TEN-00023,2025-08-16,2025-08-19,Janitorial,Medium,Closed,7,3,False,333.84,VEND-001,Rapid Repair Co,True
WO-0000099,PROP-0003,TEN-00028,2025-09-08,2025-09-09,Plumbing,Critical,Closed,1,1,False,609.22,VEND-009,Guardian Security,True
WO-0000100,PROP-0003,,2025-10-11,2025-10-20,Janitorial,Low,Closed,14,9,False,248.88,VEND-010,FrontDesk Patrol,True
WO-0000101,PROP-0003,,2025-10-09,2025-10-10,Janitorial,High,Closed,3,1,False,688.19,VEND-003,Metro Mechanical,True
WO-0000102,PROP-0003,,2025-12-06,2025-12-11,Plumbing,Low,Closed,14,5,False,464.02,VEND-011,CleanCore Services,True
WO-0000103,PROP-0003,,2025-12-03,,Plumbing,Low,In Progress,14,,False,149.78,VEND-005,Bright Electric,True
WO-0000104,PROP-0004,,2025-01-27,2025-01-29,Elevator,High,Closed,3,2,False,898.79,VEND-002,Skyline Maintenance,True
WO-0000105,PROP-0004,TEN-00033,2025-02-08,2025-02-09,Janitorial,Medium,Closed,7,1,False,995.16,VEND-012,Sparkle Janitorial,True
WO-0000106,PROP-0004,TEN-00038,2025-03-03,2025-03-12,Preventive Maintenance,Low,Closed,14,9,False,157.5,VEND-005,Bright Electric,True
WO-0000107,PROP-0004,,2025-04-27,2025-04-30,Tenant Request,Medium,Closed,7,3,False,1360.61,VEND-011,CleanCore Services,True
WO-0000108,PROP-0004,TEN-00035,2025-05-15,2025-05-17,Common Area,Medium,Closed,7,2,False,522.69,VEND-010,FrontDesk Patrol,True
WO-0000109,PROP-0004,TEN-00033,2025-06-12,2025-06-15,Electrical,Low,Closed,14,3,False,866.0,VEND-009,Guardian Security,True
WO-0000110,PROP-0004,TEN-00041,2025-07-03,2025-07-12,Preventive Maintenance,Medium,Closed,7,9,True,1603.24,VEND-004,Ace Plumbing,True
WO-0000111,PROP-0004,TEN-00039,2025-08-05,2025-08-19,Preventive Maintenance,Low,Closed,14,14,False,159.23,VEND-001,Rapid Repair Co,True
WO-0000112,PROP-0004,,2025-09-12,,Janitorial,Medium,In Progress,7,,False,1299.51,VEND-005,Bright Electric,True
WO-0000113,PROP-0004,TEN-00042,2025-10-18,2025-10-22,Preventive Maintenance,Medium,Closed,7,4,False,222.23,VEND-002,Skyline Maintenance,True
WO-0000114,PROP-0004,,2025-10-18,2025-10-21,Tenant Request,High,Closed,3,3,False,427.09,VEND-012,Sparkle Janitorial,True
WO-0000115,PROP-0004,TEN-00043,2025-10-05,2025-10-07,HVAC,High,Closed,3,2,False,646.16,VEND-001,Rapid Repair Co,True
WO-0000116,PROP-0004,TEN-00033,2025-12-16,2025-12-20,Tenant Request,Medium,Closed,7,4,False,300.24,VEND-010,FrontDesk Patrol,True
WO-0000117,PROP-0005,TEN-00052,2025-01-13,,Janitorial,Low,In Progress,14,,False,50.0,VEND-003,Metro Mechanical,True
WO-0000118,PROP-0005,,2025-03-13,2025-03-17,HVAC,Medium,Closed,7,4,False,890.74,VEND-012,Sparkle Janitorial,True
WO-0000119,PROP-0005,TEN-00053,2025-03-11,2025-03-18,Elevator,Low,Closed,14,7,False,442.79,VEND-005,Bright Electric,True
WO-0000120,PROP-0005,,2025-04-09,2025-04-16,Tenant Request,Medium,Closed,7,7,False,319.14,VEND-009,Guardian Security,True
WO-0000121,PROP-0005,TEN-00055,2025-04-26,,Security,Medium,In Progress,7,,False,161.92,VEND-010,FrontDesk Patrol,True
WO-0000122,PROP-0005,TEN-00047,2025-05-17,2025-05-20,Janitorial,Medium,Closed,7,3,False,1182.87,VEND-002,Skyline Maintenance,True
WO-0000123,PROP-0005,,2025-05-13,2025-05-16,Security,Low,Closed,14,3,False,249.78,VEND-010,FrontDesk Patrol,True
WO-0000124,PROP-0005,TEN-00050,2025-05-20,2025-05-21,Janitorial,Medium,Closed,7,1,False,791.31,VEND-012,Sparkle Janitorial,True
WO-0000125,PROP-0005,,2025-06-26,2025-07-24,Plumbing,Low,Closed,14,28,True,354.53,VEND-005,Bright Electric,True
WO-0000126,PROP-0005,TEN-00052,2025-06-18,2025-06-19,Elevator,Medium,Closed,7,1,False,615.78,VEND-003,Metro Mechanical,True
WO-0000127,PROP-0005,TEN-00055,2025-06-10,2025-06-13,Tenant Request,Medium,Closed,7,3,False,838.61,VEND-011,CleanCore Services,True
WO-0000128,PROP-0005,TEN-00047,2025-07-12,,Plumbing,Low,In Progress,14,,False,349.89,VEND-010,FrontDesk Patrol,True
WO-0000129,PROP-0005,,2025-07-18,2025-07-21,Janitorial,High,Closed,3,3,False,1211.63,VEND-012,Sparkle Janitorial,True
WO-0000130,PROP-0005,TEN-00051,2025-10-03,,Electrical,High,Open,3,,True,1476.68,VEND-009,Guardian Security,True
WO-0000131,PROP-0005,,2025-11-20,2025-11-26,Common Area,Medium,Closed,7,6,False,871.69,VEND-001,Rapid Repair Co,True
WO-0000132,PROP-0006,TEN-00069,2025-01-01,2025-01-12,Tenant Request,Low,Closed,14,11,False,291.88,VEND-012,Sparkle Janitorial,True
WO-0000133,PROP-0006,TEN-00069,2025-01-21,2025-01-25,Preventive Maintenance,Medium,Closed,7,4,False,310.08,VEND-004,Ace Plumbing,True
WO-0000134,PROP-0006,TEN-00056,2025-02-06,2025-02-10,Elevator,Medium,Closed,7,4,False,258.24,VEND-010,FrontDesk Patrol,True
WO-0000135,PROP-0006,TEN-00062,2025-04-28,,Common Area,High,Open,3,,True,790.56,VEND-003,Metro Mechanical,True
WO-0000136,PROP-0006,TEN-00066,2025-04-09,,Electrical,Low,In Progress,14,,False,259.64,VEND-003,Metro Mechanical,True
WO-0000137,PROP-0006,TEN-00066,2025-05-14,2025-05-18,Tenant Request,Medium,Closed,7,4,False,1256.45,VEND-012,Sparkle Janitorial,True
WO-0000138,PROP-0006,TEN-00063,2025-06-08,2025-06-12,Elevator,Medium,Closed,7,4,False,161.89,VEND-010,FrontDesk Patrol,True
WO-0000139,PROP-0006,TEN-00057,2025-07-26,2025-08-03,Tenant Request,Low,Closed,14,8,False,255.0,VEND-010,FrontDesk Patrol,True
WO-0000140,PROP-0006,TEN-00060,2025-08-04,2025-08-18,Electrical,Low,Closed,14,14,False,140.85,VEND-004,Ace Plumbing,True
WO-0000141,PROP-0006,,2025-10-11,2025-10-13,Tenant Request,Medium,Closed,7,2,False,82.92,VEND-010,FrontDesk Patrol,True
WO-0000142,PROP-0006,,2025-11-04,2025-11-06,Common Area,Low,Closed,14,2,False,339.68,VEND-003,Metro Mechanical,True
WO-0000143,PROP-0006,TEN-00062,2025-12-02,2025-12-04,Janitorial,High,Closed,3,2,False,1651.04,VEND-001,Rapid Repair Co,True
WO-0000144,PROP-0006,TEN-00067,2025-12-06,2025-12-19,Preventive Maintenance,Low,Closed,14,13,False,379.57,VEND-012,Sparkle Janitorial,True
WO-0000145,PROP-0007,TEN-00077,2025-01-09,2025-01-15,Janitorial,Medium,Closed,7,6,False,588.23,VEND-010,FrontDesk Patrol,True
WO-0000146,PROP-0007,,2025-01-17,2025-01-27,Security,Low,Closed,14,10,False,287.74,VEND-010,FrontDesk Patrol,True
WO-0000147,PROP-0007,TEN-00077,2025-01-26,2025-01-27,Security,Low,Closed,14,1,False,72.32,VEND-005,Bright Electric,True
WO-0000148,PROP-0007,TEN-00081,2025-02-20,2025-03-03,Tenant Request,Medium,Closed,7,11,True,127.66,VEND-009,Guardian Security,True
WO-0000149,PROP-0007,,2025-02-10,2025-02-12,Elevator,High,Closed,3,2,False,1306.98,VEND-005,Bright Electric,True
WO-0000150,PROP-0007,,2025-02-11,2025-02-12,Preventive Maintenance,Medium,Closed,7,1,False,322.55,VEND-011,CleanCore Services,True
WO-0000151,PROP-0007,TEN-00076,2025-02-13,2025-02-22,Common Area,Low,Closed,14,9,False,104.33,VEND-011,CleanCore Services,True
WO-0000152,PROP-0007,TEN-00076,2025-03-06,2025-03-22,Plumbing,Critical,Closed,1,16,True,1468.24,VEND-001,Rapid Repair Co,True
WO-0000153,PROP-0007,TEN-00075,2025-03-20,2025-03-23,Security,High,Closed,3,3,False,940.41,VEND-011,CleanCore Services,True
WO-0000154,PROP-0007,TEN-00072,2025-04-20,2025-04-25,Plumbing,Low,Closed,14,5,False,50.0,VEND-009,Guardian Security,True
WO-0000155,PROP-0007,,2025-04-01,2025-04-02,Common Area,Low,Closed,14,1,False,476.84,VEND-002,Skyline Maintenance,True
WO-0000156,PROP-0007,TEN-00073,2025-04-02,,HVAC,Low,In Progress,14,,True,583.71,VEND-012,Sparkle Janitorial,True
WO-0000157,PROP-0007,TEN-00077,2025-04-15,2025-04-16,Security,Medium,Closed,7,1,False,240.37,VEND-012,Sparkle Janitorial,True
WO-0000158,PROP-0007,TEN-00072,2025-05-23,,Security,Low,Open,14,,False,708.43,VEND-001,Rapid Repair Co,True
WO-0000159,PROP-0007,,2025-06-16,2025-06-17,HVAC,Medium,Closed,7,1,False,324.44,VEND-002,Skyline Maintenance,True
WO-0000160,PROP-0007,TEN-00072,2025-06-22,2025-06-27,Preventive Maintenance,Low,Closed,14,5,False,72.76,VEND-009,Guardian Security,True
WO-0000161,PROP-0007,TEN-00076,2025-06-17,2025-06-24,Janitorial,Medium,Closed,7,7,False,548.36,VEND-012,Sparkle Janitorial,True
WO-0000162,PROP-0007,TEN-00073,2025-06-25,2025-07-08,HVAC,Low,Closed,14,13,False,201.79,VEND-004,Ace Plumbing,True
WO-0000163,PROP-0007,TEN-00078,2025-07-28,,Plumbing,High,In Progress,3,,True,1080.06,VEND-011,CleanCore Services,True
WO-0000164,PROP-0007,,2025-07-11,,Janitorial,High,In Progress,3,,True,352.47,VEND-002,Skyline Maintenance,True
WO-0000165,PROP-0007,TEN-00076,2025-09-13,2025-09-19,Electrical,Medium,Closed,7,6,False,594.73,VEND-011,CleanCore Services,True
WO-0000166,PROP-0007,,2025-09-10,2025-09-30,Janitorial,High,Closed,3,20,True,4367.01,VEND-002,Skyline Maintenance,True
WO-0000167,PROP-0007,,2025-09-10,2025-09-21,Elevator,Low,Closed,14,11,False,362.18,VEND-001,Rapid Repair Co,True
WO-0000168,PROP-0007,,2025-10-09,2025-10-10,Preventive Maintenance,High,Closed,3,1,False,1378.01,VEND-001,Rapid Repair Co,True
WO-0000169,PROP-0007,TEN-00081,2025-11-23,,Tenant Request,High,In Progress,3,,True,506.61,VEND-011,CleanCore Services,True
WO-0000170,PROP-0007,,2025-12-01,2025-12-15,HVAC,Low,Closed,14,14,False,166.86,VEND-012,Sparkle Janitorial,True
WO-0000171,PROP-0008,TEN-00087,2025-01-09,2025-01-16,Plumbing,Low,Closed,14,7,False,124.88,VEND-009,Guardian Security,True
WO-0000172,PROP-0008,TEN-00085,2025-01-16,2025-01-25,Preventive Maintenance,Low,Closed,14,9,False,173.91,VEND-002,Skyline Maintenance,True
WO-0000173,PROP-0008,TEN-00086,2025-02-20,2025-02-25,Janitorial,Medium,Closed,7,5,False,206.22,VEND-003,Metro Mechanical,True
WO-0000174,PROP-0008,TEN-00091,2025-03-18,2025-03-20,Preventive Maintenance,High,Closed,3,2,False,675.5,VEND-004,Ace Plumbing,True
WO-0000175,PROP-0008,,2025-03-19,2025-03-30,Janitorial,Low,Closed,14,11,False,172.51,VEND-010,FrontDesk Patrol,True
WO-0000176,PROP-0008,,2025-03-12,2025-03-25,Security,Low,Closed,14,13,False,130.05,VEND-011,CleanCore Services,True
WO-0000177,PROP-0008,TEN-00091,2025-04-27,2025-05-02,Janitorial,Low,Closed,14,5,False,346.47,VEND-009,Guardian Security,True
WO-0000178,PROP-0008,TEN-00088,2025-04-21,2025-04-27,Tenant Request,Medium,Closed,7,6,False,495.7,VEND-009,Guardian Security,True
WO-0000179,PROP-0008,TEN-00089,2025-04-07,,HVAC,Medium,In Progress,7,,False,144.75,VEND-005,Bright Electric,True
WO-0000180,PROP-0008,TEN-00084,2025-04-14,2025-04-16,HVAC,Medium,Closed,7,2,False,810.51,VEND-009,Guardian Security,True
WO-0000181,PROP-0008,,2025-04-23,2025-05-07,Janitorial,Low,Closed,14,14,False,50.0,VEND-005,Bright Electric,True
WO-0000182,PROP-0008,TEN-00091,2025-05-20,,Electrical,Medium,In Progress,7,,False,365.17,VEND-005,Bright Electric,True
WO-0000183,PROP-0008,TEN-00086,2025-06-21,2025-06-24,Elevator,High,Closed,3,3,False,2123.79,VEND-003,Metro Mechanical,True
WO-0000184,PROP-0008,TEN-00083,2025-06-27,2025-07-04,Janitorial,Medium,Closed,7,7,False,109.24,VEND-010,FrontDesk Patrol,True
WO-0000185,PROP-0008,,2025-06-15,2025-06-24,Elevator,Medium,Closed,7,9,True,267.68,VEND-005,Bright Electric,True
WO-0000186,PROP-0008,TEN-00087,2025-07-07,2025-07-12,HVAC,High,Closed,3,5,True,225.33,VEND-001,Rapid Repair Co,True
WO-0000187,PROP-0008,TEN-00090,2025-07-20,2025-07-31,Common Area,Low,Closed,14,11,False,476.37,VEND-002,Skyline Maintenance,True
WO-0000188,PROP-0008,TEN-00091,2025-07-03,2025-07-05,HVAC,Medium,Closed,7,2,False,761.32,VEND-011,CleanCore Services,True
WO-0000189,PROP-0008,,2025-07-01,2025-07-08,Plumbing,Medium,Closed,7,7,False,296.58,VEND-005,Bright Electric,True
WO-0000190,PROP-0008,TEN-00082,2025-08-25,2025-09-05,Tenant Request,Low,Closed,14,11,False,155.77,VEND-005,Bright Electric,True
WO-0000191,PROP-0008,TEN-00091,2025-08-14,,Janitorial,Low,In Progress,14,,False,95.15,VEND-011,CleanCore Services,True
WO-0000192,PROP-0008,TEN-00090,2025-08-02,,Plumbing,Medium,Open,7,,False,104.05,VEND-009,Guardian Security,True
WO-0000193,PROP-0008,TEN-00086,2025-08-18,2025-08-27,HVAC,Low,Closed,14,9,False,753.11,VEND-005,Bright Electric,True
