ar_id,property_id,tenant_id,month,billed_rent,amount_paid,outstanding_balance,aging_bucket,collection_priority,synthetic_record
AR-0000041,PROP-0001,TEN-00004,2025-05-01,2123.59,1592.69,530.9,1-30,Medium,True
AR-0000042,PROP-0001,TEN-00004,2025-06-01,2123.59,0.0,2123.59,1-30,Medium,True
AR-0000043,PROP-0001,TEN-00004,2025-07-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000044,PROP-0001,TEN-00004,2025-08-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000045,PROP-0001,TEN-00004,2025-09-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000046,PROP-0001,TEN-00004,2025-10-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000047,PROP-0001,TEN-00004,2025-11-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000048,PROP-0001,TEN-00004,2025-12-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000049,PROP-0001,TEN-00005,2025-01-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000050,PROP-0001,TEN-00005,2025-02-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000051,PROP-0001,TEN-00005,2025-03-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000052,PROP-0001,TEN-00005,2025-04-01,12473.82,9355.36,3118.46,31-60,Medium,True
AR-0000053,PROP-0001,TEN-00005,2025-05-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000054,PROP-0001,TEN-00005,2025-06-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000055,PROP-0001,TEN-00005,2025-07-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000056,PROP-0001,TEN-00005,2025-08-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000057,PROP-0001,TEN-00005,2025-09-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000058,PROP-0001,TEN-00005,2025-10-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000059,PROP-0001,TEN-00005,2025-11-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000060,PROP-0001,TEN-00005,2025-12-01,12473.82,12473.82,0.0,Current,Low,True
AR-0000061,PROP-0001,TEN-00006,2025-01-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000062,PROP-0001,TEN-00006,2025-02-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000063,PROP-0001,TEN-00006,2025-03-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000064,PROP-0001,TEN-00006,2025-04-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000065,PROP-0001,TEN-00006,2025-05-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000066,PROP-0001,TEN-00006,2025-06-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000067,PROP-0001,TEN-00006,2025-07-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000068,PROP-0001,TEN-00006,2025-08-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000069,PROP-0001,TEN-00006,2025-09-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000070,PROP-0001,TEN-00006,2025-10-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000071,PROP-0001,TEN-00006,2025-11-01,32142.17,32142.17,0.0,Current,Low,True
AR-0000072,PROP-0001,TEN-00006,2025-12-01,32142.17,24106.63,8035.54,61-90,High,True
AR-0000073,PROP-0001,TEN-00007,2025-01-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000074,PROP-0001,TEN-00007,2025-02-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000075,PROP-0001,TEN-00007,2025-03-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000076,PROP-0001,TEN-00007,2025-04-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000077,PROP-0001,TEN-00007,2025-05-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000078,PROP-0001,TEN-00007,2025-06-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000079,PROP-0001,TEN-00007,2025-07-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000080,PROP-0001,TEN-00007,2025-08-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000081,PROP-0001,TEN-00007,2025-09-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000082,PROP-0001,TEN-00007,2025-10-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000083,PROP-0001,TEN-00007,2025-11-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000084,PROP-0001,TEN-00007,2025-12-01,8100.34,8100.34,0.0,Current,Low,True
AR-0000085,PROP-0001,TEN-00008,2025-01-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000086,PROP-0001,TEN-00008,2025-02-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000087,PROP-0001,TEN-00008,2025-03-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000088,PROP-0001,TEN-00008,2025-04-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000089,PROP-0001,TEN-00008,2025-05-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000090,PROP-0001,TEN-00008,2025-06-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000091,PROP-0001,TEN-00008,2025-07-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000092,PROP-0001,TEN-00008,2025-08-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000093,PROP-0001,TEN-00008,2025-09-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000094,PROP-0001,TEN-00008,2025-10-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000095,PROP-0001,TEN-00008,2025-11-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000096,PROP-0001,TEN-00008,2025-12-01,31944.86,31944.86,0.0,Current,Low,True
AR-0000097,PROP-0001,TEN-00009,2025-01-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000098,PROP-0001,TEN-00009,2025-02-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000099,PROP-0001,TEN-00009,2025-03-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000100,PROP-0001,TEN-00009,2025-04-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000101,PROP-0001,TEN-00009,2025-05-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000102,PROP-0001,TEN-00009,2025-06-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000103,PROP-0001,TEN-00009,2025-07-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000104,PROP-0001,TEN-00009,2025-08-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000105,PROP-0001,TEN-00009,2025-09-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000106,PROP-0001,TEN-00009,2025-10-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000107,PROP-0001,TEN-00009,2025-11-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000108,PROP-0001,TEN-00009,2025-12-01,12159.37,12159.37,0.0,Current,Low,True
AR-0000109,PROP-0001,TEN-00010,2025-01-01,900.0,900.0,0.0,Current,Low,True
AR-0000110,PROP-0001,TEN-00010,2025-02-01,900.0,900.0,0.0,Current,Low,True
AR-0000111,PROP-0001,TEN-00010,2025-03-01,900.0,900.0,0.0,Current,Low,True
AR-0000112,PROP-0001,TEN-00010,2025-04-01,900.0,900.0,0.0,Current,Low,True
AR-0000113,PROP-0001,TEN-00010,2025-05-01,900.0,900.0,0.0,Current,Low,True
AR-0000114,PROP-0001,TEN-00010,2025-06-01,900.0,900.0,0.0,Current,Low,True
AR-0000115,PROP-0001,TEN-00010,2025-07-01,900.0,900.0,0.0,Current,Low,True
AR-0000116,PROP-0001,TEN-00010,2025-08-01,900.0,900.0,0.0,Current,Low,True
AR-0000117,PROP-0001,TEN-00010,2025-09-01,900.0,900.0,0.0,Current,Low,True
AR-0000118,PROP-0001,TEN-00010,2025-10-01,900.0,900.0,0.0,Current,Low,True
AR-0000119,PROP-0001,TEN-00010,2025-11-01,900.0,900.0,0.0,Current,Low,True
AR-0000120,PROP-0001,TEN-00010,2025-12-01,900.0,900.0,0.0,Current,Low,True
AR-0000121,PROP-0001,TEN-00011,2025-01-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000122,PROP-0001,TEN-00011,2025-02-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000123,PROP-0001,TEN-00011,2025-03-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000124,PROP-0001,TEN-00011,2025-04-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000125,PROP-0001,TEN-00011,2025-05-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000126,PROP-0001,TEN-00011,2025-06-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000127,PROP-0001,TEN-00011,2025-07-01,13074.69,9806.02,3268.67,1-30,Medium,True
AR-0000128,PROP-0001,TEN-00011,2025-08-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000129,PROP-0001,TEN-00011,2025-09-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000130,PROP-0001,TEN-00011,2025-10-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000131,PROP-0001,TEN-00011,2025-11-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000132,PROP-0001,TEN-00011,2025-12-01,13074.69,13074.69,0.0,Current,Low,True
AR-0000133,PROP-0001,TEN-00012,2025-01-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000134,PROP-0001,TEN-00012,2025-02-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000135,PROP-0001,TEN-00012,2025-03-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000136,PROP-0001,TEN-00012,2025-04-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000137,PROP-0001,TEN-00012,2025-05-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000138,PROP-0001,TEN-00012,2025-06-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000139,PROP-0001,TEN-00012,2025-07-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000140,PROP-0001,TEN-00012,2025-08-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000141,PROP-0001,TEN-00012,2025-09-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000142,PROP-0001,TEN-00012,2025-10-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000143,PROP-0001,TEN-00012,2025-11-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000144,PROP-0001,TEN-00012,2025-12-01,6870.86,6870.86,0.0,Current,Low,True
AR-0000145,PROP-0002,TEN-00013,2025-01-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000146,PROP-0002,TEN-00013,2025-02-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000147,PROP-0002,TEN-00013,2025-03-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000148,PROP-0002,TEN-00013,2025-04-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000149,PROP-0002,TEN-00013,2025-05-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000150,PROP-0002,TEN-00013,2025-06-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000151,PROP-0002,TEN-00013,2025-07-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000152,PROP-0002,TEN-00013,2025-08-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000153,PROP-0002,TEN-00013,2025-09-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000154,PROP-0002,TEN-00013,2025-10-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000155,PROP-0002,TEN-00013,2025-11-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000156,PROP-0002,TEN-00013,2025-12-01,64675.21,64675.21,0.0,Current,Low,True
AR-0000157,PROP-0002,TEN-00014,2025-01-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000158,PROP-0002,TEN-00014,2025-02-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000159,PROP-0002,TEN-00014,2025-03-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000160,PROP-0002,TEN-00014,2025-04-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000161,PROP-0002,TEN-00014,2025-05-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000162,PROP-0002,TEN-00014,2025-06-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000163,PROP-0002,TEN-00014,2025-07-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000164,PROP-0002,TEN-00014,2025-08-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000165,PROP-0002,TEN-00014,2025-09-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000166,PROP-0002,TEN-00014,2025-10-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000167,PROP-0002,TEN-00014,2025-11-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000168,PROP-0002,TEN-00014,2025-12-01,205234.37,205234.37,0.0,Current,Low,True
AR-0000169,PROP-0002,TEN-00015,2025-01-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000170,PROP-0002,TEN-00015,2025-02-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000171,PROP-0002,TEN-00015,2025-03-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000172,PROP-0002,TEN-00015,2025-04-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000173,PROP-0002,TEN-00015,2025-05-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000174,PROP-0002,TEN-00015,2025-06-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000175,PROP-0002,TEN-00015,2025-07-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000176,PROP-0002,TEN-00015,2025-08-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000177,PROP-0002,TEN-00015,2025-09-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000178,PROP-0002,TEN-00015,2025-10-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000179,PROP-0002,TEN-00015,2025-11-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000180,PROP-0002,TEN-00015,2025-12-01,68779.86,68779.86,0.0,Current,Low,True
AR-0000181,PROP-0002,TEN-00016,2025-01-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000182,PROP-0002,TEN-00016,2025-02-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000183,PROP-0002,TEN-00016,2025-03-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000184,PROP-0002,TEN-00016,2025-04-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000185,PROP-0002,TEN-00016,2025-05-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000186,PROP-0002,TEN-00016,2025-06-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000187,PROP-0002,TEN-00016,2025-07-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000188,PROP-0002,TEN-00016,2025-08-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000189,PROP-0002,TEN-00016,2025-09-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000190,PROP-0002,TEN-00016,2025-10-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000191,PROP-0002,TEN-00016,2025-11-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000192,PROP-0002,TEN-00016,2025-12-01,77534.95,77534.95,0.0,Current,Low,True
AR-0000193,PROP-0002,TEN-00017,2025-01-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000194,PROP-0002,TEN-00017,2025-02-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000195,PROP-0002,TEN-00017,2025-03-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000196,PROP-0002,TEN-00017,2025-04-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000197,PROP-0002,TEN-00017,2025-05-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000198,PROP-0002,TEN-00017,2025-06-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000199,PROP-0002,TEN-00017,2025-07-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000200,PROP-0002,TEN-00017,2025-08-01,250074.45,62518.61,187555.84,61-90,High,True
AR-0000201,PROP-0002,TEN-00017,2025-09-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000202,PROP-0002,TEN-00017,2025-10-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000203,PROP-0002,TEN-00017,2025-11-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000204,PROP-0002,TEN-00017,2025-12-01,250074.45,250074.45,0.0,Current,Low,True
AR-0000205,PROP-0002,TEN-00018,2025-01-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000206,PROP-0002,TEN-00018,2025-02-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000207,PROP-0002,TEN-00018,2025-03-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000208,PROP-0002,TEN-00018,2025-04-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000209,PROP-0002,TEN-00018,2025-05-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000210,PROP-0002,TEN-00018,2025-06-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000211,PROP-0002,TEN-00018,2025-07-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000212,PROP-0002,TEN-00018,2025-08-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000213,PROP-0002,TEN-00018,2025-09-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000214,PROP-0002,TEN-00018,2025-10-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000215,PROP-0002,TEN-00018,2025-11-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000216,PROP-0002,TEN-00018,2025-12-01,7471.99,7471.99,0.0,Current,Low,True
AR-0000217,PROP-0002,TEN-00019,2025-01-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000218,PROP-0002,TEN-00019,2025-02-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000219,PROP-0002,TEN-00019,2025-03-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000220,PROP-0002,TEN-00019,2025-04-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000221,PROP-0002,TEN-00019,2025-05-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000222,PROP-0002,TEN-00019,2025-06-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000223,PROP-0002,TEN-00019,2025-07-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000224,PROP-0002,TEN-00019,2025-08-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000225,PROP-0002,TEN-00019,2025-09-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000226,PROP-0002,TEN-00019,2025-10-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000227,PROP-0002,TEN-00019,2025-11-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000228,PROP-0002,TEN-00019,2025-12-01,69369.82,69369.82,0.0,Current,Low,True
AR-0000229,PROP-0002,TEN-00020,2025-01-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000230,PROP-0002,TEN-00020,2025-02-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000231,PROP-0002,TEN-00020,2025-03-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000232,PROP-0002,TEN-00020,2025-04-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000233,PROP-0002,TEN-00020,2025-05-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000234,PROP-0002,TEN-00020,2025-06-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000235,PROP-0002,TEN-00020,2025-07-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000236,PROP-0002,TEN-00020,2025-08-01,174341.85,87170.92,87170.92,61-90,High,True
AR-0000237,PROP-0002,TEN-00020,2025-09-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000238,PROP-0002,TEN-00020,2025-10-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000239,PROP-0002,TEN-00020,2025-11-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000240,PROP-0002,TEN-00020,2025-12-01,174341.85,174341.85,0.0,Current,Low,True
AR-0000241,PROP-0003,TEN-00021,2025-01-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000242,PROP-0003,TEN-00021,2025-02-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000243,PROP-0003,TEN-00021,2025-03-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000244,PROP-0003,TEN-00021,2025-04-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000245,PROP-0003,TEN-00021,2025-05-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000246,PROP-0003,TEN-00021,2025-06-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000247,PROP-0003,TEN-00021,2025-07-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000248,PROP-0003,TEN-00021,2025-08-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000249,PROP-0003,TEN-00021,2025-09-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000250,PROP-0003,TEN-00021,2025-10-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000251,PROP-0003,TEN-00021,2025-11-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000252,PROP-0003,TEN-00021,2025-12-01,2602.28,2602.28,0.0,Current,Low,True
AR-0000253,PROP-0003,TEN-00022,2025-01-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000254,PROP-0003,TEN-00022,2025-02-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000255,PROP-0003,TEN-00022,2025-03-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000256,PROP-0003,TEN-00022,2025-04-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000257,PROP-0003,TEN-00022,2025-05-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000258,PROP-0003,TEN-00022,2025-06-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000259,PROP-0003,TEN-00022,2025-07-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000260,PROP-0003,TEN-00022,2025-08-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000261,PROP-0003,TEN-00022,2025-09-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000262,PROP-0003,TEN-00022,2025-10-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000263,PROP-0003,TEN-00022,2025-11-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000264,PROP-0003,TEN-00022,2025-12-01,5939.66,5939.66,0.0,Current,Low,True
AR-0000265,PROP-0003,TEN-00023,2025-01-01,900.0,900.0,0.0,Current,Low,True
AR-0000266,PROP-0003,TEN-00023,2025-02-01,900.0,900.0,0.0,Current,Low,True
AR-0000267,PROP-0003,TEN-00023,2025-03-01,900.0,900.0,0.0,Current,Low,True
AR-0000268,PROP-0003,TEN-00023,2025-04-01,900.0,900.0,0.0,Current,Low,True
AR-0000269,PROP-0003,TEN-00023,2025-05-01,900.0,900.0,0.0,Current,Low,True
AR-0000270,PROP-0003,TEN-00023,2025-06-01,900.0,900.0,0.0,Current,Low,True
AR-0000271,PROP-0003,TEN-00023,2025-07-01,900.0,900.0,0.0,Current,Low,True
AR-0000272,PROP-0003,TEN-00023,2025-08-01,900.0,900.0,0.0,Current,Low,True
AR-0000273,PROP-0003,TEN-00023,2025-09-01,900.0,900.0,0.0,Current,Low,True
AR-0000274,PROP-0003,TEN-00023,2025-10-01,900.0,900.0,0.0,Current,Low,True
AR-0000275,PROP-0003,TEN-00023,2025-11-01,900.0,900.0,0.0,Current,Low,True
AR-0000276,PROP-0003,TEN-00023,2025-12-01,900.0,900.0,0.0,Current,Low,True
AR-0000277,PROP-0003,TEN-00024,2025-01-01,1130.32,1130.32,0.0,Current,Low,True
AR-0000278,PROP-0003,TEN-00024,2025-02-01,1130.32,1130.32,0.0,Current,Low,True
