tenant_id,property_id,tenant_name,tenant_category,occupied_sqft,unit_count,lease_start_date,lease_end_date,monthly_rent,security_deposit,tenant_status,synthetic_record
TEN-00017,PROP-0002,Cornerstone Partners 17,Residential,24164,117,2022-06-09,2024-06-09,250074.45,375111.68,Active,True
TEN-00018,PROP-0002,Evergreen Holdings 18,Food & Beverage,9991,4,2022-01-21,2025-01-21,7471.99,11207.99,Active,True
TEN-00019,PROP-0002,Parkside Cafe 19,Fitness/Wellness,76908,36,2023-10-18,2024-10-18,69369.82,104054.72,Active,True
TEN-00020,PROP-0002,Urban Group 20,Residential,113168,86,2023-09-22,2026-09-22,174341.85,261512.78,Active,True
TEN-00021,PROP-0003,Metro Fitness 21,Residential,581,1,2021-11-24,2024-11-24,2602.28,5204.56,Active,True
TEN-00022,PROP-0003,Urban Studio 22,Residential,350,2,2024-07-06,2026-07-06,5939.66,11879.32,Active,True
TEN-00023,PROP-0003,Summit Clinic 23,Healthcare,350,1,2021-08-05,2023-08-05,900.0,1800.0,Active,True
TEN-00024,PROP-0003,Cedar Services 24,Residential,840,1,2021-07-01,2023-07-01,1130.32,2260.63,Active,True
TEN-00025,PROP-0003,Vista Services 25,Residential,350,1,2021-10-25,2024-10-25,1758.83,1758.83,Active,True
TEN-00026,PROP-0003,Hudson Consulting 26,Retail,525,2,2023-09-19,2026-09-19,5198.63,7797.94,Renewal Risk,True
TEN-00027,PROP-0003,Brightline Consulting 27,Residential,350,2,2023-07-08,2025-07-08,4772.31,4772.31,Active,True
TEN-00028,PROP-0003,Parkside Fitness 28,Retail,1424,1,2023-03-12,2025-03-12,2783.22,4174.83,Active,True
TEN-00029,PROP-0003,Evergreen Cafe 29,Residential,1157,1,2022-05-14,2027-05-14,1638.07,1638.07,Active,True
TEN-00030,PROP-0003,Cedar Retail 30,Residential,1131,1,2023-04-06,2026-04-06,3076.84,4615.25,Active,True
TEN-00031,PROP-0003,Urban Retail 31,Residential,350,2,2022-12-27,2024-12-27,4481.31,8962.62,Active,True
TEN-00032,PROP-0004,Atlas Cafe 32,Residential,548,1,2022-08-01,2024-08-01,6793.55,6793.55,Active,True
TEN-00033,PROP-0004,Summit Retail 33,Residential,6493,1,2024-01-20,2027-01-20,2071.89,4143.79,Active,True
TEN-00034,PROP-0004,Cornerstone Studio 34,Residential,4178,4,2023-08-16,2024-08-16,47058.81,94117.61,Active,True
TEN-00035,PROP-0004,Brightline Market 35,Residential,7219,1,2024-07-14,2026-07-14,11395.55,22791.1,Active,True
TEN-00036,PROP-0004,Cedar Clinic 36,Residential,3567,1,2021-10-02,2023-10-02,3026.75,4540.12,Active,True
TEN-00037,PROP-0004,Cornerstone Consulting 37,Residential,1362,3,2023-08-24,2027-08-24,30206.87,45310.3,Active,True
TEN-00038,PROP-0004,Evergreen Retail 38,Residential,1587,1,2022-01-14,2023-01-14,5424.4,8136.59,Active,True
TEN-00039,PROP-0004,Beacon Consulting 39,Residential,471,3,2022-02-13,2024-02-13,31915.57,31915.57,Active,True
TEN-00040,PROP-0004,Atlas Cafe 40,Residential,2011,1,2022-11-21,2027-11-21,10067.41,20134.81,Active,True
TEN-00041,PROP-0004,Vista Holdings 41,Residential,5013,1,2022-04-12,2026-04-12,11950.88,17926.31,Active,True
TEN-00042,PROP-0004,Cedar Design 42,Residential,4448,3,2024-08-10,2029-08-10,26320.84,39481.27,Active,True
TEN-00043,PROP-0004,Urban Labs 43,Residential,2277,1,2024-07-25,2025-07-25,9379.15,14068.73,Active,True
TEN-00044,PROP-0004,Summit Fitness 44,Residential,2461,1,2024-06-14,2025-06-14,10321.36,10321.36,Active,True
TEN-00045,PROP-0004,Pioneer Studio 45,Residential,2037,1,2021-05-25,2023-05-25,7033.71,10550.57,Active,True
TEN-00046,PROP-0005,Parkside Retail 46,Fitness/Wellness,444,1,2023-03-28,2026-03-28,2344.57,3516.85,Active,True
TEN-00047,PROP-0005,Pioneer Consulting 47,Residential,1329,3,2022-08-17,2026-08-17,6950.0,10424.99,Active,True
TEN-00048,PROP-0005,Brightline Partners 48,Residential,6594,6,2021-07-21,2024-07-21,15239.19,22858.78,Active,True
TEN-00049,PROP-0005,Urban Studio 49,Residential,4840,5,2021-10-17,2023-10-17,10986.85,10986.85,Active,True
TEN-00050,PROP-0005,Sterling Retail 50,Residential,637,1,2021-11-08,2024-11-08,2232.38,2232.38,Active,True
TEN-00051,PROP-0005,Northstar Pharmacy 51,Residential,445,1,2022-10-13,2024-10-13,900.0,1800.0,Active,True
TEN-00052,PROP-0005,Hudson Pharmacy 52,Residential,350,1,2023-04-30,2024-04-30,1472.86,2945.71,Active,True
TEN-00053,PROP-0005,Hudson Market 53,Residential,2749,3,2021-03-23,2023-03-23,8407.36,8407.36,Active,True
TEN-00054,PROP-0005,Vista Design 54,Residential,2782,2,2024-08-23,2028-08-23,4911.36,4911.36,Active,True
TEN-00055,PROP-0005,Sterling Partners 55,Residential,4113,1,2022-06-15,2025-06-15,3636.67,7273.34,Active,True
TEN-00056,PROP-0006,Metro Design 56,Residential,1280,2,2024-09-23,2027-09-23,2297.88,2297.88,Active,True
TEN-00057,PROP-0006,Atlas Partners 57,Residential,525,1,2023-04-07,2024-04-07,2096.75,2096.75,Active,True
TEN-00058,PROP-0006,Cornerstone Clinic 58,Residential,1977,2,2021-10-09,2022-10-09,2818.89,5637.78,Active,True
TEN-00059,PROP-0006,Brightline Fitness 59,Residential,370,1,2024-01-06,2026-01-06,1716.78,2575.18,Active,True
TEN-00060,PROP-0006,Atlas Consulting 60,Retail,1257,3,2024-08-29,2029-08-29,3181.35,6362.7,Month-to-Month,True
TEN-00061,PROP-0006,Urban Studio 61,Residential,2273,1,2023-09-27,2024-09-27,900.0,1800.0,Active,True
TEN-00062,PROP-0006,Northstar Pharmacy 62,Residential,1074,2,2024-09-22,2026-09-22,3247.47,3247.47,Active,True
TEN-00063,PROP-0006,Northstar Market 63,Residential,3861,3,2022-09-16,2023-09-16,4440.04,6660.06,Month-to-Month,True
TEN-00064,PROP-0006,Evergreen Fitness 64,Residential,1968,1,2021-05-11,2024-05-11,1217.24,1825.86,Active,True
TEN-00065,PROP-0006,Sterling Partners 65,Residential,2027,2,2022-08-28,2026-08-28,2958.05,2958.05,Active,True
TEN-00066,PROP-0006,Sterling Pharmacy 66,Residential,705,3,2021-10-22,2024-10-22,5195.22,7792.84,Active,True
TEN-00067,PROP-0006,Evergreen Fitness 67,Retail,3620,10,2024-08-07,2025-08-07,15023.57,15023.57,Active,True
TEN-00068,PROP-0006,Harbor Design 68,Residential,1608,1,2022-03-16,2023-03-16,1751.99,3503.97,Active,True
TEN-00069,PROP-0006,Evergreen Cafe 69,Retail,1801,3,2024-12-19,2026-12-19,3684.02,3684.02,Active,True
TEN-00070,PROP-0006,Pioneer Retail 70,Residential,3538,2,2024-04-01,2025-04-01,3439.65,5159.48,Active,True
TEN-00071,PROP-0006,Urban Retail 71,Residential,1053,7,2024-05-19,2026-05-19,9643.56,9643.56,Active,True
TEN-00072,PROP-0007,Liberty Group 72,Retail,1983,1,2021-06-15,2022-06-15,2718.96,2718.96,Active,True
TEN-00073,PROP-0007,Cornerstone Cafe 73,Residential,6291,2,2021-01-05,2023-01-05,5038.02,10076.03,Renewal Risk,True
TEN-00074,PROP-0007,Metro Studio 74,Retail,4946,3,2022-12-23,2025-12-23,10322.54,15483.81,Active,True
TEN-00075,PROP-0007,Apex Services 75,Food & Beverage,1860,12,2023-04-01,2026-04-01,42330.73,42330.73,Active,True
TEN-00076,PROP-0007,Northstar Services 76,Residential,2483,2,2024-01-25,2027-01-25,4045.56,6068.34,Active,True
TEN-00077,PROP-0007,Cedar Holdings 77,Residential,2737,3,2022-08-03,2024-08-03,8781.83,8781.83,Active,True
TEN-00078,PROP-0007,Pioneer Partners 78,Residential,1962,6,2022-04-13,2024-04-13,19815.15,29722.73,Month-to-Month,True
TEN-00079,PROP-0007,Beacon Cafe 79,Residential,1756,1,2022-04-09,2024-04-09,4278.28,6417.42,Active,True
TEN-00080,PROP-0007,Atlas Retail 80,Residential,2574,2,2024-01-15,2028-01-15,5231.87,7847.8,Active,True
TEN-00081,PROP-0007,Harbor Cafe 81,Office/Services,415,7,2022-11-03,2025-11-03,20795.1,41590.2,Active,True
TEN-00082,PROP-0008,Brightline Fitness 82,Residential,45718,5,2022-06-03,2024-06-03,7649.57,15299.14,Active,True
TEN-00083,PROP-0008,Summit Services 83,Residential,22625,18,2023-08-13,2025-08-13,38176.25,57264.38,Active,True
TEN-00084,PROP-0008,Atlas Services 84,Residential,2166,11,2021-12-20,2025-12-20,18468.55,18468.55,Active,True
TEN-00085,PROP-0008,Summit Fitness 85,Office/Services,20113,9,2021-12-20,2026-12-20,13532.49,13532.49,Active,True
TEN-00086,PROP-0008,Apex Pharmacy 86,Residential,10311,5,2022-10-02,2023-10-02,9496.84,9496.84,Active,True
TEN-00087,PROP-0008,Metro Consulting 87,Office/Services,8566,5,2024-03-08,2027-03-08,8889.32,13333.97,Active,True
TEN-00088,PROP-0008,Harbor Cafe 88,Residential,3821,23,2021-01-05,2024-01-05,45352.01,68028.01,Active,True
TEN-00089,PROP-0008,Summit Clinic 89,Residential,8606,16,2023-05-21,2026-05-21,26537.85,53075.71,Active,True
TEN-00090,PROP-0008,Brightline Holdings 90,Residential,1139,20,2021-09-30,2024-09-30,38652.2,57978.31,Active,True
TEN-00091,PROP-0008,Liberty Clinic 91,Residential,10665,35,2024-06-18,2027-06-18,61704.25,123408.5,Active,True
TEN-00092,PROP-0009,Cedar Consulting 92,Residential,1020,1,2023-03-20,2024-03-20,2813.45,2813.45,Active,True
TEN-00093,PROP-0009,Parkside Services 93,Residential,1132,1,2023-08-04,2026-08-04,2569.14,5138.28,Active,True
TEN-00094,PROP-0009,Sterling Retail 94,Residential,686,2,2024-11-05,2026-11-05,3840.69,7681.39,Renewal Risk,True
TEN-00095,PROP-0009,Beacon Studio 95,Residential,495,1,2023-02-05,2024-02-05,900.0,1350.0,Active,True
TEN-00096,PROP-0009,Metro Design 96,Residential,411,2,2022-10-04,2025-10-04,6103.28,6103.28,Active,True
TEN-00097,PROP-0009,Pioneer Cafe 97,Residential,350,1,2021-05-11,2023-05-11,900.0,900.0,Active,True
TEN-00098,PROP-0009,Pioneer Clinic 98,Residential,1372,1,2021-05-24,2024-05-24,3002.04,3002.04,Active,True
TEN-00099,PROP-0009,Liberty Holdings 99,Residential,1552,1,2021-03-18,2022-03-18,1518.53,2277.79,Active,True
TEN-00100,PROP-0009,Apex Consulting 100,Residential,501,1,2022-04-27,2026-04-27,900.0,1800.0,Active,True
TEN-00101,PROP-0009,Evergreen Fitness 101,Retail,350,1,2024-08-19,2026-08-19,1013.03,1519.54,Active,True
TEN-00102,PROP-0009,Evergreen Clinic 102,Residential,718,2,2023-04-03,2025-04-03,5226.13,7839.19,Active,True
TEN-00103,PROP-0009,Vista Partners 103,Residential,350,2,2023-04-23,2025-04-23,7428.91,7428.91,Active,True
TEN-00104,PROP-0009,Northstar Fitness 104,Retail,350,1,2023-01-20,2025-01-20,1888.31,1888.31,Month-to-Month,True
TEN-00105,PROP-0009,Summit Design 105,Healthcare,1883,2,2024-05-21,2026-05-21,7247.72,7247.72,Active,True
TEN-00106,PROP-0009,Summit Services 106,Residential,1179,1,2022-07-09,2027-07-09,900.0,1800.0,Active,True
TEN-00107,PROP-0009,Pioneer Services 107,Retail,504,1,2022-12-24,2024-12-24,900.0,900.0,Active,True
TEN-00108,PROP-0010,Parkside Holdings 108,Residential,2590,2,2024-02-14,2026-02-14,7073.16,10609.74,Active,True
TEN-00109,PROP-0010,Pioneer Services 109,Residential,3987,1,2021-01-27,2026-01-27,2981.05,4471.57,Active,True
TEN-00110,PROP-0010,Liberty Holdings 110,Food & Beverage,3567,1,2021-03-30,2024-03-30,2195.55,2195.55,Active,True
TEN-00111,PROP-0010,Metro Pharmacy 111,Residential,3334,4,2022-06-11,2024-06-11,16722.57,25083.85,Active,True
TEN-00112,PROP-0010,Beacon Pharmacy 112,Residential,8811,1,2022-01-10,2024-01-10,5974.4,8961.59,Active,True
TEN-00113,PROP-0010,Hudson Group 113,Retail,1616,1,2022-05-07,2024-05-07,900.0,1800.0,Active,True
TEN-00114,PROP-0010,Brightline Studio 114,Residential,350,2,2022-07-31,2023-07-31,9293.48,13940.21,Active,True
TEN-00115,PROP-0010,Parkside Market 115,Residential,2138,1,2021-07-29,2022-07-29,6427.6,6427.6,Renewal Risk,True
TEN-00116,PROP-0010,Hudson Labs 116,Retail,990,3,2024-09-27,2026-09-27,8397.83,16795.65,Active,True
TEN-00117,PROP-0010,Summit Holdings 117,Residential,516,1,2023-05-06,2025-05-06,1213.35,1820.03,Active,True
TEN-00118,PROP-0010,Liberty Studio 118,Residential,3270,1,2023-03-17,2025-03-17,3980.66,5970.98,Active,True
TEN-00119,PROP-0010,Harbor Market 119,Retail,786,3,2022-05-10,2024-05-10,13308.82,13308.82,Active,True
TEN-00120,PROP-0010,Atlas Design 120,Residential,350,1,2024-05-25,2028-05-25,3143.95,4715.93,Active,True
TEN-00121,PROP-0010,Hudson Design 121,Residential,2142,1,2023-07-19,2026-07-19,4803.41,7205.11,Active,True
TEN-00122,PROP-0010,Cedar Market 122,Food & Beverage,1689,5,2021-06-01,2024-06-01,23225.2,34837.8,Month-to-Month,True
TEN-00123,PROP-0011,Beacon Studio 123,Residential,3360,1,2021-03-13,2024-03-13,2091.53,4183.07,Active,True
TEN-00124,PROP-0011,Vista Consulting 124,Residential,1409,1,2024-07-03,2025-07-03,900.0,1800.0,Active,True
TEN-00125,PROP-0011,Vista Partners 125,Residential,350,1,2021-01-28,2024-01-28,900.0,1350.0,Active,True
TEN-00126,PROP-0011,Northstar Clinic 126,Residential,516,1,2021-01-11,2023-01-11,4170.5,6255.75,Active,True
TEN-00127,PROP-0011,Sterling Group 127,Residential,908,1,2021-07-05,2023-07-05,3536.38,3536.38,Active,True
TEN-00128,PROP-0011,Cedar Consulting 128,Residential,736,1,2021-08-28,2024-08-28,3646.75,7293.5,Active,True
TEN-00129,PROP-0011,Summit Partners 129,Residential,2662,1,2023-09-20,2025-09-20,3826.33,3826.33,Active,True
TEN-00130,PROP-0011,Northstar Group 130,Residential,687,2,2021-02-01,2023-02-01,6836.32,6836.32,Active,True
TEN-00131,PROP-0011,Atlas Holdings 131,Residential,350,1,2024-12-26,2025-12-26,1310.55,2621.1,Active,True
TEN-00132,PROP-0011,Vista Cafe 132,Food & Beverage,1156,1,2021-03-01,2022-03-01,3240.99,4861.49,Active,True
TEN-00133,PROP-0011,Hudson Fitness 133,Residential,350,1,2024-10-03,2025-10-03,2253.97,3380.95,Active,True
TEN-00134,PROP-0011,Harbor Fitness 134,Residential,350,2,2021-12-11,2023-12-11,5543.37,5543.37,Active,True
TEN-00135,PROP-0011,Liberty Partners 135,Residential,350,1,2024-10-19,2029-10-19,932.22,1398.33,Active,True
TEN-00136,PROP-0011,Hudson Clinic 136,Residential,1338,1,2021-11-24,2023-11-24,900.0,1800.0,Renewal Risk,True
TEN-00137,PROP-0012,Beacon Partners 137,Retail,350,2,2023-12-17,2025-12-17,3360.7,3360.7,Active,True
TEN-00138,PROP-0012,Evergreen Market 138,Healthcare,580,2,2024-07-19,2026-07-19,3698.8,5548.2,Active,True
TEN-00139,PROP-0012,Apex Holdings 139,Fitness/Wellness,1279,2,2024-12-24,2027-12-24,3471.81,5207.71,Active,True
TEN-00140,PROP-0012,Metro Pharmacy 140,Residential,2605,1,2023-07-15,2025-07-15,2495.19,3742.78,Active,True
TEN-00141,PROP-0012,Atlas Partners 141,Residential,2763,5,2021-06-30,2023-06-30,9470.14,14205.21,Active,True
TEN-00142,PROP-0012,Urban Holdings 142,Fitness/Wellness,3975,1,2024-03-27,2027-03-27,1393.35,2786.7,Active,True
TEN-00143,PROP-0012,Harbor Pharmacy 143,Residential,1310,1,2024-02-05,2027-02-05,900.0,900.0,Active,True
TEN-00144,PROP-0012,Parkside Services 144,Residential,371,1,2024-08-10,2025-08-10,900.0,1350.0,Active,True
TEN-00145,PROP-0012,Apex Market 145,Residential,554,5,2024-04-17,2026-04-17,11043.15,16564.73,Active,True
TEN-00146,PROP-0012,Evergreen Retail 146,Residential,9153,1,2021-09-10,2025-09-10,1355.22,1355.22,Active,True
TEN-00147,PROP-0012,Northstar Pharmacy 147,Office/Services,1436,3,2021-02-14,2022-02-14,5911.24,8866.86,Active,True
TEN-00148,PROP-0012,Cornerstone Studio 148,Residential,5094,2,2022-06-30,2024-06-30,4733.27,4733.27,Active,True
TEN-00149,PROP-0013,Vista Studio 149,Residential,1509,6,2024-01-07,2028-01-07,17582.45,26373.67,Active,True
TEN-00150,PROP-0013,Vista Services 150,Residential,7365,2,2021-03-08,2022-03-08,4738.37,9476.73,Active,True
TEN-00151,PROP-0013,Beacon Holdings 151,Office/Services,7282,6,2023-03-03,2025-03-03,14951.83,14951.83,Active,True
TEN-00152,PROP-0013,Beacon Cafe 152,Residential,2258,3,2021-08-22,2024-08-22,9724.75,14587.12,Active,True
TEN-00153,PROP-0013,Apex Market 153,Residential,2859,6,2023-06-18,2025-06-18,16584.91,24877.36,Active,True
TEN-00154,PROP-0013,Summit Consulting 154,Office/Services,566,10,2023-02-18,2025-02-18,31877.89,63755.79,Active,True
TEN-00155,PROP-0013,Cedar Studio 155,Residential,7231,3,2023-05-13,2024-05-13,9853.23,19706.46,Active,True
TEN-00156,PROP-0013,Evergreen Services 156,Retail,2632,5,2021-10-11,2023-10-11,16103.48,24155.22,Active,True
TEN-00157,PROP-0013,Sterling Studio 157,Retail,5059,3,2022-09-05,2025-09-05,8097.77,8097.77,Active,True
TEN-00158,PROP-0013,Sterling Consulting 158,Residential,8598,5,2021-02-10,2023-02-10,13273.83,19910.75,Active,True
TEN-00159,PROP-0013,Metro Studio 159,Office/Services,4368,2,2022-12-16,2024-12-16,7167.99,7167.99,Active,True
TEN-00160,PROP-0013,Hudson Retail 160,Residential,11715,2,2024-04-17,2025-04-17,6705.85,10058.78,Active,True
TEN-00161,PROP-0013,Cedar Services 161,Office/Services,7158,5,2023-03-16,2025-03-16,14154.68,21232.03,Renewal Risk,True
TEN-00162,PROP-0013,Harbor Labs 162,Residential,10040,9,2024-07-30,2026-07-30,26246.38,26246.38,Active,True
TEN-00163,PROP-0013,Apex Fitness 163,Residential,5615,10,2022-12-28,2024-12-28,30693.12,61386.23,Active,True
TEN-00164,PROP-0013,Urban Fitness 164,Residential,1641,8,2022-03-18,2024-03-18,22746.64,34119.96,Active,True
TEN-00165,PROP-0014,Beacon Consulting 165,Food & Beverage,579,1,2021-12-16,2024-12-16,900.0,900.0,Active,True
TEN-00166,PROP-0014,Metro Studio 166,Residential,462,1,2022-09-29,2024-09-29,2152.44,2152.44,Active,True
TEN-00167,PROP-0014,Atlas Market 167,Retail,1306,1,2021-07-12,2026-07-12,1406.35,2812.7,Active,True
TEN-00168,PROP-0014,Cornerstone Group 168,Residential,3354,3,2023-03-27,2024-03-27,4416.12,8832.24,Active,True
TEN-00169,PROP-0014,Apex Pharmacy 169,Fitness/Wellness,502,2,2022-12-29,2024-12-29,3103.07,4654.61,Active,True
TEN-00170,PROP-0014,Urban Consulting 170,Residential,1060,1,2021-08-29,2024-08-29,1470.88,2206.32,Active,True
TEN-00171,PROP-0014,Apex Holdings 171,Residential,389,1,2022-01-15,2025-01-15,1027.28,2054.56,Active,True
TEN-00172,PROP-0014,Atlas Services 172,Residential,443,1,2024-01-19,2026-01-19,1044.66,2089.32,Active,True
TEN-00173,PROP-0015,Pioneer Pharmacy 173,Residential,2238,5,2022-08-17,2025-08-17,8672.1,8672.1,Active,True
TEN-00174,PROP-0015,Pioneer Design 174,Residential,1046,1,2021-05-17,2024-05-17,900.0,1800.0,Active,True
TEN-00175,PROP-0015,Beacon Holdings 175,Food & Beverage,982,2,2023-11-19,2027-11-19,3399.94,5099.91,Active,True
TEN-00176,PROP-0015,Cedar Fitness 176,Residential,2606,2,2023-07-16,2026-07-16,4028.38,8056.77,Renewal Risk,True
TEN-00177,PROP-0015,Pioneer Fitness 177,Residential,4584,1,2023-04-26,2024-04-26,1602.02,1602.02,Active,True
TEN-00178,PROP-0015,Atlas Retail 178,Residential,1934,2,2021-01-31,2023-01-31,2701.22,5402.44,Active,True
TEN-00179,PROP-0015,Northstar Market 179,Residential,2138,4,2022-08-03,2024-08-03,7330.42,7330.42,Active,True
TEN-00180,PROP-0015,Sterling Clinic 180,Residential,350,10,2023-06-15,2024-06-15,17120.14,17120.14,Active,True
TEN-00181,PROP-0015,Beacon Partners 181,Residential,350,3,2021-07-11,2022-07-11,4867.86,9735.72,Active,True
TEN-00182,PROP-0015,Cornerstone Pharmacy 182,Retail,7037,4,2023-02-16,2024-02-16,6697.52,13395.04,Active,True
TEN-00183,PROP-0016,Cornerstone Market 183,Food & Beverage,8224,49,2021-03-05,2024-03-05,404362.44,404362.44,Active,True
TEN-00184,PROP-0016,Beacon Group 184,Residential,14797,38,2022-04-07,2024-04-07,354264.03,708528.06,Active,True
TEN-00185,PROP-0016,Parkside Fitness 185,Office/Services,13176,17,2022-06-25,2024-06-25,152816.26,229224.4,Month-to-Month,True
TEN-00186,PROP-0016,Brightline Pharmacy 186,Residential,60164,6,2021-09-28,2023-09-28,46317.32,46317.32,Active,True
TEN-00187,PROP-0016,Urban Holdings 187,Residential,23159,27,2021-01-16,2022-01-16,235821.88,353732.82,Active,True
TEN-00188,PROP-0016,Northstar Retail 188,Residential,37773,41,2021-03-26,2025-03-26,344363.01,344363.01,Active,True
TEN-00189,PROP-0016,Northstar Group 189,Office/Services,45753,36,2021-07-01,2024-07-01,350234.97,525352.45,Renewal Risk,True
TEN-00190,PROP-0016,Atlas Consulting 190,Residential,68194,16,2022-12-03,2023-12-03,129052.24,129052.24,Active,True
TEN-00191,PROP-0016,Sterling Services 191,Residential,76915,13,2024-05-24,2029-05-24,127639.27,255278.53,Active,True
TEN-00192,PROP-0016,Northstar Holdings 192,Residential,26208,24,2023-12-06,2026-12-06,243564.02,243564.02,Active,True
TEN-00193,PROP-0016,Brightline Cafe 193,Residential,2587,48,2021-08-08,2025-08-08,451058.73,902117.46,Active,True
TEN-00194,PROP-0016,Brightline Holdings 194,Residential,32030,21,2023-03-26,2028-03-26,165727.98,248591.97,Active,True
TEN-00195,PROP-0016,Sterling Clinic 195,Residential,143693,16,2024-01-20,2025-01-20,151286.72,226930.08,Active,True
TEN-00196,PROP-0017,Vista Studio 196,Residential,1318,1,2023-02-21,2025-02-21,1221.69,1832.54,Active,True
TEN-00197,PROP-0017,Pioneer Studio 197,Residential,350,1,2024-08-17,2026-08-17,4785.81,9571.63,Active,True
TEN-00198,PROP-0017,Evergreen Consulting 198,Residential,2000,2,2023-01-21,2024-01-21,10124.9,15187.35,Active,True
TEN-00199,PROP-0017,Atlas Fitness 199,Retail,3292,1,2021-01-23,2025-01-23,1973.57,1973.57,Active,True
TEN-00200,PROP-0017,Parkside Retail 200,Retail,720,1,2023-07-08,2026-07-08,900.0,1350.0,Active,True
TEN-00201,PROP-0017,Hudson Holdings 201,Office/Services,812,2,2021-12-06,2023-12-06,8316.21,8316.21,Renewal Risk,True
TEN-00202,PROP-0017,Apex Group 202,Residential,2768,3,2022-04-14,2024-04-14,12552.35,25104.69,Active,True
TEN-00203,PROP-0017,Metro Fitness 203,Healthcare,1527,1,2021-11-23,2023-11-23,900.0,900.0,Active,True
TEN-00204,PROP-0017,Atlas Services 204,Residential,1681,1,2024-10-02,2028-10-02,2263.81,2263.81,Active,True
TEN-00205,PROP-0017,Brightline Design 205,Residential,4144,1,2023-12-29,2025-12-29,2187.61,3281.41,Month-to-Month,True
TEN-00206,PROP-0017,Apex Holdings 206,Residential,1583,1,2023-05-02,2024-05-02,2141.7,4283.4,Active,True
TEN-00207,PROP-0017,Pioneer Holdings 207,Residential,2662,1,2023-10-04,2027-10-04,1046.73,1570.09,Active,True
TEN-00208,PROP-0017,Evergreen Consulting 208,Residential,632,1,2023-04-23,2024-04-23,3779.88,3779.88,Active,True
TEN-00209,PROP-0017,Vista Holdings 209,Residential,1565,1,2024-09-22,2027-09-22,1205.2,1205.2,Active,True
TEN-00210,PROP-0018,Northstar Partners 210,Residential,930,11,2023-10-19,2025-10-19,30944.18,30944.18,Renewal Risk,True
TEN-00211,PROP-0018,Northstar Services 211,Office/Services,2253,5,2024-06-12,2026-06-12,12934.62,12934.62,Active,True
TEN-00212,PROP-0018,Beacon Consulting 212,Residential,5644,1,2022-02-06,2025-02-06,3677.32,5515.99,Active,True
TEN-00213,PROP-0018,Cornerstone Partners 213,Residential,13030,8,2024-01-17,2027-01-17,23034.34,23034.34,Active,True
TEN-00214,PROP-0018,Evergreen Services 214,Residential,2222,2,2021-03-29,2023-03-29,4175.83,4175.83,Active,True
TEN-00215,PROP-0018,Northstar Fitness 215,Residential,5565,5,2022-07-30,2027-07-30,13340.33,13340.33,Active,True
TEN-00216,PROP-0018,Apex Retail 216,Office/Services,3043,2,2022-04-04,2026-04-04,4718.32,4718.32,Active,True
TEN-00217,PROP-0018,Pioneer Partners 217,Residential,2519,3,2022-05-11,2025-05-11,7006.38,7006.38,Active,True
TEN-00218,PROP-0018,Parkside Holdings 218,Office/Services,6248,2,2021-06-23,2024-06-23,4680.54,9361.08,Active,True
TEN-00219,PROP-0018,Harbor Services 219,Residential,4701,23,2022-04-07,2023-04-07,64620.46,64620.46,Active,True
TEN-00220,PROP-0018,Cedar Studio 220,Residential,8845,2,2022-11-01,2023-11-01,4431.25,8862.51,Active,True
