invoice_id,property_id,vendor_id,vendor_name,invoice_number,invoice_category,invoice_date,due_date,paid_date,invoice_amount,approval_status,gl_code,late_payment_flag,potential_duplicate_invoice_flag,missing_gl_code_flag,compliance_flag,synthetic_record
INVREC-0000022,PROP-0001,VEND-002,Skyline Maintenance,INV-0001-04-00022,Repairs & Maintenance,2025-04-20,2025-05-20,2025-05-16,1328.96,Pending,6100,False,False,False,True,True
INVREC-0000023,PROP-0001,VEND-013,Urban Greenery,INV-0001-04-00023,Landscaping,2025-04-09,2025-05-09,2025-05-23,1066.57,Approved,6500,True,False,False,True,True
INVREC-0000024,PROP-0001,VEND-002,Skyline Maintenance,INV-0001-05-00024,Repairs & Maintenance,2025-05-13,2025-06-12,2025-06-11,831.02,Approved,6100,False,False,False,False,True
INVREC-0000025,PROP-0001,VEND-008,Gridline Energy,INV-0001-05-00025,Utilities,2025-05-24,2025-06-23,2025-07-15,1789.63,Approved,6200,True,False,False,True,True
INVREC-0000026,PROP-0001,VEND-002,Skyline Maintenance,INV-0001-05-00026,Repairs & Maintenance,2025-05-11,2025-06-10,2025-06-04,4326.91,Approved,6100,False,False,False,False,True
INVREC-0000027,PROP-0001,VEND-005,Bright Electric,INV-0001-05-00027,Repairs & Maintenance,2025-05-17,2025-06-16,2025-06-11,2744.28,Approved,6100,False,False,False,False,True
INVREC-0000028,PROP-0001,VEND-010,FrontDesk Patrol,INV-0001-06-00028,Security,2025-06-13,2025-06-28,2025-06-27,1597.48,Approved,6300,False,False,False,False,True
INVREC-0000029,PROP-0001,VEND-014,LedgerPro Accounting,INV-0001-06-00029,Professional Services,2025-06-01,2025-07-01,,1488.9,Rejected,6600,False,False,False,True,True
INVREC-0000030,PROP-0001,VEND-005,Bright Electric,INV-0001-06-00030,Repairs & Maintenance,2025-06-09,2025-07-09,2025-07-06,2788.07,Pending,6100,False,False,False,True,True
INVREC-0000031,PROP-0001,VEND-004,Ace Plumbing,INV-0001-06-00031,Repairs & Maintenance,2025-06-11,2025-07-11,2025-07-09,2681.46,Approved,6100,False,False,False,False,True
INVREC-0000032,PROP-0001,VEND-010,FrontDesk Patrol,INV-0001-06-00032,Security,2025-06-10,2025-07-10,2025-07-03,258.98,Approved,6300,False,False,False,False,True
INVREC-0000033,PROP-0001,VEND-006,ConEd Utility,INV-0001-07-00033,Utilities,2025-07-15,2025-07-30,2025-07-27,769.33,Pending,6200,False,False,False,True,True
INVREC-0000034,PROP-0001,VEND-004,Ace Plumbing,INV-0001-07-00034,Repairs & Maintenance,2025-07-22,2025-08-21,2025-08-18,2108.62,Approved,6100,False,False,False,False,True
INVREC-0000035,PROP-0001,VEND-007,NY Water Services,INV-0001-07-00035,Utilities,2025-07-03,2025-08-02,2025-07-27,1873.49,Approved,6200,False,False,False,False,True
INVREC-0000036,PROP-0001,VEND-012,Sparkle Janitorial,INV-0001-07-00036,Janitorial,2025-07-18,2025-08-17,2025-08-15,639.51,Approved,6400,False,False,False,False,True
INVREC-0000037,PROP-0001,VEND-004,Ace Plumbing,INV-0001-07-00037,Repairs & Maintenance,2025-07-13,2025-08-12,2025-08-08,237.47,Approved,,False,False,True,True,True
INVREC-0000038,PROP-0001,VEND-003,Metro Mechanical,INV-0001-07-00038,Repairs & Maintenance,2025-07-12,2025-08-11,2025-08-04,1203.22,Approved,6100,False,False,False,False,True
INVREC-0000039,PROP-0001,VEND-002,Skyline Maintenance,INV-0001-08-00039,Repairs & Maintenance,2025-08-12,2025-08-27,2025-09-12,1019.33,Approved,6100,True,False,False,True,True
INVREC-0000040,PROP-0001,VEND-007,NY Water Services,INV-0001-08-00040,Utilities,2025-08-01,2025-08-31,2025-08-29,941.57,Approved,6200,False,False,False,False,True
INVREC-0000041,PROP-0001,VEND-016,RiskShield Insurance,INV-0001-08-00041,Insurance,2025-08-03,2025-09-02,2025-09-12,2248.46,Approved,6700,True,False,False,True,True
INVREC-0000042,PROP-0001,VEND-014,LedgerPro Accounting,INV-0001-08-00042,Professional Services,2025-08-19,2025-10-03,2025-09-27,1629.9,Approved,6600,False,False,False,False,True
INVREC-0000043,PROP-0001,VEND-011,CleanCore Services,INV-0001-08-00043,Janitorial,2025-08-12,2025-09-11,2025-09-07,863.95,Approved,6400,False,False,False,False,True
INVREC-0000044,PROP-0001,VEND-015,ComplianceWorks,INV-0001-09-00044,Professional Services,2025-09-15,2025-09-30,2025-10-20,1823.16,Approved,6600,True,False,False,True,True
INVREC-0000045,PROP-0001,VEND-015,ComplianceWorks,INV-0001-09-00045,Professional Services,2025-09-07,2025-10-07,2025-10-05,321.94,Approved,6600,False,False,False,False,True
INVREC-0000046,PROP-0001,VEND-012,Sparkle Janitorial,INV-0001-09-00046,Janitorial,2025-09-12,2025-10-12,,3292.75,Rejected,,False,False,True,True,True
INVREC-0000047,PROP-0001,VEND-010,FrontDesk Patrol,INV-0001-09-00047,Security,2025-09-19,2025-10-19,2025-10-18,2209.11,Approved,6300,False,False,False,False,True
INVREC-0000048,PROP-0001,VEND-008,Gridline Energy,INV-0001-10-00048,Utilities,2025-10-21,2025-11-20,2025-11-17,1051.85,Approved,6200,False,False,False,False,True
INVREC-0000049,PROP-0001,VEND-006,ConEd Utility,INV-0001-10-00049,Utilities,2025-10-09,2025-11-08,2025-11-06,399.33,Approved,6200,False,False,False,False,True
INVREC-0000050,PROP-0001,VEND-008,Gridline Energy,INV-0001-10-00050,Utilities,2025-10-09,2025-10-24,2025-10-17,4182.72,Approved,6200,False,False,False,False,True
INVREC-0000051,PROP-0001,VEND-003,Metro Mechanical,INV-0001-10-00051,Repairs & Maintenance,2025-10-22,2025-12-06,2025-12-02,2771.62,Approved,6100,False,False,False,False,True
INVREC-0000052,PROP-0001,VEND-010,FrontDesk Patrol,INV-0001-10-00052,Security,2025-10-19,2025-11-18,2025-12-06,633.39,Approved,6300,True,False,False,True,True
INVREC-0000053,PROP-0001,VEND-017,OfficeWorks Supply,INV-0001-11-00053,Administrative,2025-11-08,2025-12-08,2025-12-01,310.49,Approved,,False,False,True,True,True
INVREC-0000054,PROP-0001,VEND-016,RiskShield Insurance,INV-0001-11-00054,Insurance,2025-11-21,2025-12-06,2025-11-29,453.38,Approved,6700,False,False,False,False,True
INVREC-0000055,PROP-0001,VEND-011,CleanCore Services,INV-0001-11-00055,Janitorial,2025-11-09,2025-12-09,2025-12-02,1369.67,Approved,6400,False,False,False,False,True
INVREC-0000056,PROP-0001,VEND-015,ComplianceWorks,INV-0001-11-00056,Professional Services,2025-11-21,2026-01-05,2026-01-05,926.44,Approved,6600,False,False,False,False,True
INVREC-0000057,PROP-0001,VEND-010,FrontDesk Patrol,INV-0001-11-00057,Security,2025-11-12,2025-12-12,2025-12-08,1130.76,Approved,6300,False,False,False,False,True
INVREC-0000058,PROP-0001,VEND-003,Metro Mechanical,INV-0001-12-00058,Repairs & Maintenance,2025-12-23,2026-01-22,2026-01-19,1997.68,Pending,6100,False,False,False,True,True
INVREC-0000059,PROP-0001,VEND-004,Ace Plumbing,INV-0001-12-00059,Repairs & Maintenance,2025-12-06,2026-01-05,2026-01-02,1779.95,Approved,6100,False,False,False,False,True
INVREC-0000060,PROP-0001,VEND-017,OfficeWorks Supply,INV-0001-12-00060,Administrative,2025-12-16,2026-01-15,2026-01-17,595.67,Approved,6800,True,False,False,True,True
INVREC-0000061,PROP-0001,VEND-014,LedgerPro Accounting,INV-0001-12-00061,Professional Services,2025-12-19,2026-01-18,2026-01-14,568.72,Approved,6600,False,False,False,False,True
INVREC-0000062,PROP-0001,VEND-006,ConEd Utility,INV-0001-12-00062,Utilities,2025-12-24,2026-01-23,2026-01-18,2271.78,Approved,6200,False,False,False,False,True
INVREC-0000063,PROP-0001,VEND-011,CleanCore Services,INV-0001-12-00063,Janitorial,2025-12-06,2026-01-05,2026-01-05,667.12,Approved,6400,False,False,False,False,True
INVREC-0000064,PROP-0002,VEND-005,Bright Electric,INV-0002-01-00064,Repairs & Maintenance,2025-01-15,2025-02-14,2025-02-14,8527.25,Approved,6100,False,False,False,False,True
INVREC-0000065,PROP-0002,VEND-016,RiskShield Insurance,INV-0002-01-00065,Insurance,2025-01-03,2025-02-02,2025-02-18,10952.05,Approved,6700,True,False,False,True,True
INVREC-0000066,PROP-0002,VEND-014,LedgerPro Accounting,INV-0002-01-00066,Professional Services,2025-01-03,2025-02-02,2025-01-27,2481.93,Approved,6600,False,False,False,False,True
INVREC-0000067,PROP-0002,VEND-002,Skyline Maintenance,INV-0002-01-00067,Repairs & Maintenance,2025-01-04,2025-02-03,2025-02-03,5031.21,Approved,6100,False,False,False,False,True
INVREC-0000068,PROP-0002,VEND-003,Metro Mechanical,INV-0002-01-00068,Repairs & Maintenance,2025-01-06,2025-02-20,2025-02-17,15977.51,Approved,6100,False,False,False,False,True
INVREC-0000069,PROP-0002,VEND-011,CleanCore Services,INV-0002-01-00069,Janitorial,2025-01-03,2025-02-17,2025-02-22,2043.77,Approved,6400,True,False,False,True,True
INVREC-0000070,PROP-0002,VEND-011,CleanCore Services,INV-0002-01-00070,Janitorial,2025-01-06,2025-02-05,2025-02-24,8245.83,Approved,6400,True,False,False,True,True
INVREC-0000071,PROP-0002,VEND-012,Sparkle Janitorial,INV-0001-12-00059,Janitorial,2025-01-13,2025-01-28,2025-01-28,2925.46,Approved,6400,False,True,False,True,True
INVREC-0000072,PROP-0002,VEND-016,RiskShield Insurance,INV-0002-01-00072,Insurance,2025-01-23,2025-02-22,2025-02-22,1191.86,Approved,6700,False,False,False,False,True
INVREC-0000073,PROP-0002,VEND-015,ComplianceWorks,INV-0002-02-00073,Professional Services,2025-02-13,2025-03-15,2025-03-10,1671.16,Approved,6600,False,False,False,False,True
INVREC-0000074,PROP-0002,VEND-003,Metro Mechanical,INV-0002-02-00074,Repairs & Maintenance,2025-02-08,2025-03-25,2025-03-22,6282.94,Approved,6100,False,False,False,False,True
INVREC-0000075,PROP-0002,VEND-003,Metro Mechanical,INV-0002-02-00075,Repairs & Maintenance,2025-02-21,2025-03-23,2025-04-15,11266.97,Approved,6100,True,False,False,True,True
INVREC-0000076,PROP-0002,VEND-009,Guardian Security,INV-0002-02-00076,Security,2025-02-02,2025-03-04,2025-03-02,1325.2,Approved,6300,False,False,False,False,True
INVREC-0000077,PROP-0002,VEND-016,RiskShield Insurance,INV-0002-02-00077,Insurance,2025-02-04,2025-02-19,2025-02-13,5325.43,Approved,6700,False,False,False,False,True
INVREC-0000078,PROP-0002,VEND-003,Metro Mechanical,INV-0002-02-00078,Repairs & Maintenance,2025-02-02,2025-03-04,2025-02-26,2628.13,Approved,6100,False,False,False,False,True
INVREC-0000079,PROP-0002,VEND-002,Skyline Maintenance,INV-0002-02-00079,Repairs & Maintenance,2025-02-17,2025-03-19,2025-03-14,4216.61,Approved,6100,False,False,False,False,True
INVREC-0000080,PROP-0002,VEND-010,FrontDesk Patrol,INV-0002-02-00080,Security,2025-02-17,2025-03-19,2025-03-18,2729.55,Approved,6300,False,False,False,False,True
INVREC-0000081,PROP-0002,VEND-015,ComplianceWorks,INV-0002-03-00081,Professional Services,2025-03-05,2025-04-04,2025-03-30,787.98,Approved,6600,False,False,False,False,True
INVREC-0000082,PROP-0002,VEND-010,FrontDesk Patrol,INV-0002-03-00082,Security,2025-03-08,2025-04-07,2025-03-31,13776.08,Pending,6300,False,False,False,True,True
INVREC-0000083,PROP-0002,VEND-013,Urban Greenery,INV-0002-03-00083,Landscaping,2025-03-12,2025-03-27,2025-03-24,7183.59,Approved,6500,False,False,False,False,True
INVREC-0000084,PROP-0002,VEND-012,Sparkle Janitorial,INV-0002-03-00084,Janitorial,2025-03-19,2025-04-03,2025-04-01,9238.48,Approved,6400,False,False,False,False,True
INVREC-0000085,PROP-0002,VEND-001,Rapid Repair Co,INV-0002-03-00085,Repairs & Maintenance,2025-03-17,2025-05-01,2025-04-30,15054.01,Approved,6100,False,False,False,False,True
INVREC-0000086,PROP-0002,VEND-015,ComplianceWorks,INV-0002-03-00086,Professional Services,2025-03-25,2025-04-24,2025-04-21,4632.04,Approved,6600,False,False,False,False,True
INVREC-0000087,PROP-0002,VEND-012,Sparkle Janitorial,INV-0002-04-00087,Janitorial,2025-04-03,2025-04-18,2025-04-13,6717.33,Approved,6400,False,False,False,False,True
INVREC-0000088,PROP-0002,VEND-006,ConEd Utility,INV-0002-04-00088,Utilities,2025-04-19,2025-05-04,2025-04-28,6465.53,Approved,6200,False,False,False,False,True
INVREC-0000089,PROP-0002,VEND-004,Ace Plumbing,INV-0002-04-00089,Repairs & Maintenance,2025-04-05,2025-05-05,2025-05-03,15138.75,Approved,6100,False,False,False,False,True
INVREC-0000090,PROP-0002,VEND-016,RiskShield Insurance,INV-0002-04-00090,Insurance,2025-04-23,2025-05-23,2025-05-18,4050.5,Approved,6700,False,False,False,False,True
INVREC-0000091,PROP-0002,VEND-002,Skyline Maintenance,INV-0002-04-00091,Repairs & Maintenance,2025-04-15,2025-05-30,2025-05-27,11457.72,Approved,6100,False,False,False,False,True
INVREC-0000092,PROP-0002,VEND-007,NY Water Services,INV-0002-04-00092,Utilities,2025-04-04,2025-05-04,2025-04-30,16158.35,Approved,6200,False,False,False,False,True
INVREC-0000093,PROP-0002,VEND-010,FrontDesk Patrol,INV-0002-05-00093,Security,2025-05-24,2025-06-23,2025-06-17,3768.3,Approved,6300,False,False,False,False,True
INVREC-0000094,PROP-0002,VEND-005,Bright Electric,INV-0002-05-00094,Repairs & Maintenance,2025-05-18,2025-06-02,2025-05-29,22894.41,Approved,6100,False,False,False,False,True
INVREC-0000095,PROP-0002,VEND-008,Gridline Energy,INV-0002-05-00095,Utilities,2025-05-15,2025-06-14,2025-06-14,41324.78,Pending,6200,False,False,False,True,True
INVREC-0000096,PROP-0002,VEND-013,Urban Greenery,INV-0002-06-00096,Landscaping,2025-06-23,2025-07-08,2025-07-06,13746.5,Approved,6500,False,False,False,False,True
INVREC-0000097,PROP-0002,VEND-013,Urban Greenery,INV-0002-06-00097,Landscaping,2025-06-23,2025-08-07,2025-08-05,23120.23,Approved,6500,False,False,False,False,True
INVREC-0000098,PROP-0002,VEND-016,RiskShield Insurance,INV-0002-06-00098,Insurance,2025-06-02,2025-07-02,,4033.46,Rejected,6700,False,False,False,True,True
INVREC-0000099,PROP-0002,VEND-003,Metro Mechanical,INV-0002-07-00099,Repairs & Maintenance,2025-07-02,2025-07-17,2025-07-12,8794.12,Approved,6100,False,False,False,False,True
INVREC-0000100,PROP-0002,VEND-006,ConEd Utility,INV-0002-07-00100,Utilities,2025-07-23,2025-08-22,2025-08-18,2615.24,Approved,6200,False,False,False,False,True
INVREC-0000101,PROP-0002,VEND-015,ComplianceWorks,INV-0002-07-00101,Professional Services,2025-07-20,2025-08-19,2025-08-12,4669.47,Approved,,False,False,True,True,True
INVREC-0000102,PROP-0002,VEND-013,Urban Greenery,INV-0002-07-00102,Landscaping,2025-07-22,2025-08-21,2025-08-18,6167.61,Approved,,False,False,True,True,True
INVREC-0000103,PROP-0002,VEND-009,Guardian Security,INV-0002-08-00103,Security,2025-08-01,2025-08-31,,6944.13,Rejected,6300,False,False,False,True,True
INVREC-0000104,PROP-0002,VEND-005,Bright Electric,INV-0002-08-00104,Repairs & Maintenance,2025-08-20,2025-09-19,2025-09-13,21933.95,Approved,6100,False,False,False,False,True
INVREC-0000105,PROP-0002,VEND-014,LedgerPro Accounting,INV-0002-08-00105,Professional Services,2025-08-01,2025-08-16,2025-08-10,2989.35,Approved,6600,False,False,False,False,True
INVREC-0000106,PROP-0002,VEND-009,Guardian Security,INV-0002-09-00106,Security,2025-09-13,2025-09-28,2025-09-22,17667.57,Pending,6300,False,False,False,True,True
INVREC-0000107,PROP-0002,VEND-014,LedgerPro Accounting,INV-0002-09-00107,Professional Services,2025-09-21,2025-10-21,2025-10-15,10822.88,Approved,6600,False,False,False,False,True
INVREC-0000108,PROP-0002,VEND-012,Sparkle Janitorial,INV-0002-09-00108,Janitorial,2025-09-07,2025-10-07,2025-10-01,10392.09,Approved,6400,False,False,False,False,True
INVREC-0000109,PROP-0002,VEND-013,Urban Greenery,INV-0002-10-00109,Landscaping,2025-10-24,2025-11-23,2025-11-22,432.59,Approved,6500,False,False,False,False,True
INVREC-0000110,PROP-0002,VEND-008,Gridline Energy,INV-0002-10-00110,Utilities,2025-10-15,2025-11-14,2025-11-09,10615.27,Approved,6200,False,False,False,False,True
INVREC-0000111,PROP-0002,VEND-005,Bright Electric,INV-0002-10-00111,Repairs & Maintenance,2025-10-09,2025-11-08,2025-11-01,40378.06,Approved,6100,False,False,False,False,True
INVREC-0000112,PROP-0002,VEND-003,Metro Mechanical,INV-0002-10-00112,Repairs & Maintenance,2025-10-09,2025-11-08,2025-11-18,17211.88,Approved,6100,True,False,False,True,True
INVREC-0000113,PROP-0002,VEND-006,ConEd Utility,INV-0002-11-00113,Utilities,2025-11-13,2025-12-13,2025-12-13,4890.96,Approved,6200,False,False,False,False,True
INVREC-0000114,PROP-0002,VEND-005,Bright Electric,INV-0002-11-00114,Repairs & Maintenance,2025-11-03,2025-12-03,,29129.56,Rejected,6100,False,False,False,True,True
INVREC-0000115,PROP-0002,VEND-008,Gridline Energy,INV-0002-11-00115,Utilities,2025-11-20,2025-12-20,2026-01-01,18083.73,Approved,6200,True,False,False,True,True
INVREC-0000116,PROP-0002,VEND-008,Gridline Energy,INV-0002-11-00116,Utilities,2025-11-08,2025-12-08,2025-12-03,21323.73,Approved,6200,False,False,False,False,True
INVREC-0000117,PROP-0002,VEND-001,Rapid Repair Co,INV-0002-11-00117,Repairs & Maintenance,2025-11-04,2025-11-19,2025-11-18,15618.74,Approved,6100,False,False,False,False,True
INVREC-0000118,PROP-0002,VEND-016,RiskShield Insurance,INV-0002-11-00118,Insurance,2025-11-02,2025-11-17,,8520.37,Rejected,6700,False,False,False,True,True
INVREC-0000119,PROP-0002,VEND-006,ConEd Utility,INV-0002-12-00119,Utilities,2025-12-25,2026-01-24,2026-01-23,2514.85,Pending,6200,False,False,False,True,True
INVREC-0000120,PROP-0002,VEND-009,Guardian Security,INV-0002-12-00120,Security,2025-12-20,2026-01-04,2025-12-31,1208.16,Approved,6300,False,False,False,False,True
INVREC-0000121,PROP-0002,VEND-010,FrontDesk Patrol,INV-0002-12-00121,Security,2025-12-13,2026-01-27,2026-01-24,744.41,Approved,6300,False,False,False,False,True
INVREC-0000122,PROP-0002,VEND-001,Rapid Repair Co,INV-0002-12-00122,Repairs & Maintenance,2025-12-11,2026-01-10,2026-01-10,9025.85,Approved,6100,False,False,False,False,True
INVREC-0000123,PROP-0002,VEND-005,Bright Electric,INV-0002-12-00123,Repairs & Maintenance,2025-12-06,2025-12-21,2025-12-27,6512.34,Approved,6100,True,False,False,True,True
INVREC-0000124,PROP-0002,VEND-014,LedgerPro Accounting,INV-0002-12-00124,Professional Services,2025-12-03,2025-12-18,2025-12-16,4300.9,Approved,6600,False,False,False,False,True
INVREC-0000125,PROP-0002,VEND-012,Sparkle Janitorial,INV-0002-12-00125,Janitorial,2025-12-25,2026-01-24,2026-01-21,3977.36,Approved,6400,False,False,False,False,True
INVREC-0000126,PROP-0003,VEND-011,CleanCore Services,INV-0003-01-00126,Janitorial,2025-01-10,2025-02-09,2025-02-09,103.02,Approved,6400,False,False,False,False,True
INVREC-0000127,PROP-0003,VEND-005,Bright Electric,INV-0003-01-00127,Repairs & Maintenance,2025-01-05,2025-02-04,2025-01-28,475.55,Approved,6100,False,False,False,False,True
INVREC-0000128,PROP-0003,VEND-017,OfficeWorks Supply,INV-0003-01-00128,Administrative,2025-01-12,2025-02-26,2025-03-12,75.0,Approved,6800,True,False,False,True,True
INVREC-0000129,PROP-0003,VEND-002,Skyline Maintenance,INV-0003-01-00129,Repairs & Maintenance,2025-01-03,2025-01-18,2025-01-13,391.08,Approved,6100,False,False,False,False,True
INVREC-0000130,PROP-0003,VEND-015,ComplianceWorks,INV-0003-01-00130,Professional Services,2025-01-11,2025-02-10,2025-02-05,216.35,Approved,6600,False,False,False,False,True
INVREC-0000131,PROP-0003,VEND-013,Urban Greenery,INV-0003-01-00131,Landscaping,2025-01-25,2025-02-09,2025-02-08,75.0,Approved,6500,False,False,False,False,True
INVREC-0000132,PROP-0003,VEND-013,Urban Greenery,INV-0003-02-00132,Landscaping,2025-02-11,2025-03-13,2025-03-12,463.39,Approved,,False,False,True,True,True
INVREC-0000133,PROP-0003,VEND-013,Urban Greenery,INV-0003-02-00133,Landscaping,2025-02-17,2025-04-03,2025-03-29,169.18,Approved,6500,False,False,False,False,True
INVREC-0000134,PROP-0003,VEND-013,Urban Greenery,INV-0003-02-00134,Landscaping,2025-02-06,2025-03-08,2025-03-30,75.0,Approved,6500,True,False,False,True,True
INVREC-0000135,PROP-0003,VEND-004,Ace Plumbing,INV-0003-03-00135,Repairs & Maintenance,2025-03-18,2025-04-17,2025-04-16,655.72,Approved,6100,False,False,False,False,True
INVREC-0000136,PROP-0003,VEND-016,RiskShield Insurance,INV-0003-03-00136,Insurance,2025-03-18,2025-04-02,2025-03-26,291.16,Approved,6700,False,False,False,False,True
INVREC-0000137,PROP-0003,VEND-013,Urban Greenery,INV-0003-03-00137,Landscaping,2025-03-11,2025-04-10,2025-04-05,75.0,Approved,,False,False,True,True,True
INVREC-0000138,PROP-0003,VEND-002,Skyline Maintenance,INV-0003-03-00138,Repairs & Maintenance,2025-03-04,2025-03-19,2025-03-16,1000.33,Approved,6100,False,False,False,False,True
INVREC-0000139,PROP-0003,VEND-007,NY Water Services,INV-0003-03-00139,Utilities,2025-03-04,2025-03-19,2025-03-16,326.73,Approved,6200,False,False,False,False,True
INVREC-0000140,PROP-0003,VEND-003,Metro Mechanical,INV-0003-03-00140,Repairs & Maintenance,2025-03-05,2025-04-04,2025-04-04,173.95,Approved,6100,False,False,False,False,True
INVREC-0000141,PROP-0003,VEND-007,NY Water Services,INV-0003-04-00141,Utilities,2025-04-02,2025-05-02,2025-04-28,75.0,Approved,6200,False,False,False,False,True
INVREC-0000142,PROP-0003,VEND-015,ComplianceWorks,INV-0003-04-00142,Professional Services,2025-04-20,2025-05-20,2025-05-17,87.83,Approved,6600,False,False,False,False,True
INVREC-0000143,PROP-0003,VEND-006,ConEd Utility,INV-0002-07-00100,Utilities,2025-04-14,2025-05-14,2025-05-08,312.17,Approved,6200,False,True,False,True,True
INVREC-0000144,PROP-0003,VEND-011,CleanCore Services,INV-0003-04-00144,Janitorial,2025-04-12,2025-05-12,2025-05-09,75.0,Approved,6400,False,False,False,False,True
INVREC-0000145,PROP-0003,VEND-002,Skyline Maintenance,INV-0003-04-00145,Repairs & Maintenance,2025-04-11,2025-04-26,2025-05-12,252.27,Approved,6100,True,False,False,True,True
INVREC-0000146,PROP-0003,VEND-004,Ace Plumbing,INV-0003-04-00146,Repairs & Maintenance,2025-04-09,2025-04-24,2025-04-22,480.63,Approved,6100,False,False,False,False,True
INVREC-0000147,PROP-0003,VEND-001,Rapid Repair Co,INV-0003-04-00147,Repairs & Maintenance,2025-04-10,2025-05-10,2025-05-07,381.79,Approved,6100,False,False,False,False,True
INVREC-0000148,PROP-0003,VEND-005,Bright Electric,INV-0003-04-00148,Repairs & Maintenance,2025-04-22,2025-05-22,2025-05-21,177.75,Pending,6100,False,False,False,True,True
INVREC-0000149,PROP-0003,VEND-004,Ace Plumbing,INV-0003-04-00149,Repairs & Maintenance,2025-04-18,2025-05-18,2025-05-28,531.05,Approved,6100,True,False,False,True,True
INVREC-0000150,PROP-0003,VEND-012,Sparkle Janitorial,INV-0003-05-00150,Janitorial,2025-05-12,2025-06-11,2025-06-09,75.0,Approved,6400,False,False,False,False,True
