financial_id,property_id,month,budget_income,actual_income,income_variance,income_variance_pct,budget_expenses,actual_expenses,expense_variance,expense_variance_pct,net_operating_income,ebitda,occupancy_rate,management_fee,synthetic_record
FIN-PROP-0002-202502,PROP-0002,2025-02-01,924363.62,832089.81,-92273.81,-0.0998,358128.75,375024.5,16895.74,0.0472,457065.31,432981.47,0.9149,24083.84,True
FIN-PROP-0002-202503,PROP-0002,2025-03-01,929400.95,822442.01,-106958.94,-0.1151,354921.1,333608.12,-21312.97,-0.06,488833.88,455230.22,0.8992,33603.67,True
FIN-PROP-0002-202504,PROP-0002,2025-04-01,931244.74,918345.26,-12899.48,-0.0139,350539.36,389707.46,39168.1,0.1117,528637.8,492730.34,0.99,35907.46,True
FIN-PROP-0002-202505,PROP-0002,2025-05-01,929400.95,825740.23,-103660.72,-0.1115,346157.61,365902.22,19744.61,0.057,459838.01,429150.02,0.9041,30687.99,True
FIN-PROP-0002-202506,PROP-0002,2025-06-01,924363.62,921810.6,-2553.02,-0.0028,342949.96,356514.38,13564.42,0.0396,565296.23,540035.68,0.9848,25260.54,True
FIN-PROP-0002-202507,PROP-0002,2025-07-01,917482.5,893006.64,-24475.86,-0.0267,341775.87,337072.59,-4703.28,-0.0138,555934.05,524372.99,0.99,31561.06,True
FIN-PROP-0002-202508,PROP-0002,2025-08-01,910601.38,843801.65,-66799.73,-0.0734,342949.96,355901.66,12951.7,0.0378,487899.99,464041.38,0.9325,23858.61,True
FIN-PROP-0002-202509,PROP-0002,2025-09-01,905564.05,857209.24,-48354.81,-0.0534,346157.61,359179.37,13021.76,0.0376,498029.88,460379.58,0.9643,37650.29,True
FIN-PROP-0002-202510,PROP-0002,2025-10-01,903720.26,831585.4,-72134.86,-0.0798,350539.36,347937.49,-2601.87,-0.0074,483647.91,451242.56,0.9452,32405.36,True
FIN-PROP-0002-202511,PROP-0002,2025-11-01,905564.05,829405.19,-76158.87,-0.0841,354921.1,363564.74,8643.65,0.0244,465840.44,440325.02,0.9125,25515.42,True
FIN-PROP-0002-202512,PROP-0002,2025-12-01,910601.38,878469.65,-32131.73,-0.0353,358128.75,361849.45,3720.69,0.0104,516620.2,488781.0,0.9246,27839.2,True
FIN-PROP-0003-202501,PROP-0003,2025-01-01,34281.47,33280.33,-1001.14,-0.0292,9929.79,10071.43,141.63,0.0143,23208.9,21811.92,0.99,1396.98,True
FIN-PROP-0003-202502,PROP-0003,2025-02-01,34538.58,33902.84,-635.74,-0.0184,9897.35,10191.79,294.45,0.0298,23711.05,22618.17,0.9701,1092.87,True
FIN-PROP-0003-202503,PROP-0003,2025-03-01,34726.8,31839.62,-2887.18,-0.0831,9808.7,11978.3,2169.61,0.2212,19861.32,18559.31,0.9293,1302.0,True
FIN-PROP-0003-202504,PROP-0003,2025-04-01,34795.69,30278.11,-4517.58,-0.1298,9687.6,12251.59,2563.99,0.2647,18026.52,16954.54,0.9013,1071.98,True
FIN-PROP-0003-202505,PROP-0003,2025-05-01,34726.8,33873.19,-853.61,-0.0246,9566.51,9955.83,389.33,0.0407,23917.35,23055.46,0.9639,861.89,True
FIN-PROP-0003-202506,PROP-0003,2025-06-01,34538.58,33589.81,-948.77,-0.0275,9477.86,10506.24,1028.38,0.1085,23083.57,21822.0,0.9437,1261.57,True
FIN-PROP-0003-202507,PROP-0003,2025-07-01,34281.47,33315.26,-966.21,-0.0282,9445.41,10917.42,1472.01,0.1558,22397.84,21419.3,0.9562,978.54,True
FIN-PROP-0003-202508,PROP-0003,2025-08-01,34024.36,29355.8,-4668.56,-0.1372,9477.86,10312.95,835.09,0.0881,19042.84,18037.94,0.8634,1004.9,True
FIN-PROP-0003-202509,PROP-0003,2025-09-01,33836.14,32599.95,-1236.19,-0.0365,9566.51,10295.74,729.23,0.0762,22304.22,21081.07,0.9667,1223.15,True
FIN-PROP-0003-202510,PROP-0003,2025-10-01,33767.25,32821.9,-945.34,-0.028,9687.6,11017.03,1329.43,0.1372,21804.87,20866.81,0.99,938.06,True
FIN-PROP-0003-202511,PROP-0003,2025-11-01,33836.14,33088.7,-747.45,-0.0221,9808.7,11476.37,1667.67,0.17,21612.32,20130.58,0.9887,1481.75,True
FIN-PROP-0003-202512,PROP-0003,2025-12-01,34024.36,32459.06,-1565.3,-0.046,9897.35,10753.46,856.12,0.0865,21705.6,20604.95,0.9674,1100.65,True
FIN-PROP-0004-202501,PROP-0004,2025-01-01,212966.74,186164.58,-26802.16,-0.1259,54572.73,61209.68,6636.96,0.1216,124954.89,119056.09,0.8616,5898.81,True
FIN-PROP-0004-202502,PROP-0004,2025-02-01,214563.99,196942.46,-17621.53,-0.0821,54394.4,60133.71,5739.31,0.1055,136808.75,128754.07,0.9248,8054.68,True
FIN-PROP-0004-202503,PROP-0004,2025-03-01,215733.26,171178.85,-44554.41,-0.2065,53907.21,59734.26,5827.06,0.1081,111444.59,106519.4,0.8044,4925.19,True
FIN-PROP-0004-202504,PROP-0004,2025-04-01,216161.24,184322.82,-31838.42,-0.1473,53241.69,60418.06,7176.37,0.1348,123904.76,118727.12,0.8534,5177.65,True
FIN-PROP-0004-202505,PROP-0004,2025-05-01,215733.26,192541.6,-23191.66,-0.1075,52576.16,61420.68,8844.52,0.1682,131120.92,123815.14,0.9001,7305.77,True
FIN-PROP-0004-202506,PROP-0004,2025-06-01,214563.99,177958.27,-36605.72,-0.1706,52088.97,63048.12,10959.15,0.2104,114910.15,110017.41,0.8504,4892.74,True
FIN-PROP-0004-202507,PROP-0004,2025-07-01,212966.74,175711.44,-37255.3,-0.1749,51910.64,56557.08,4646.43,0.0895,119154.36,114313.03,0.8433,4841.33,True
FIN-PROP-0004-202508,PROP-0004,2025-08-01,211369.49,198285.84,-13083.65,-0.0619,52088.97,63102.02,11013.06,0.2114,135183.81,128066.79,0.8997,7117.03,True
FIN-PROP-0004-202509,PROP-0004,2025-09-01,210200.22,179566.92,-30633.3,-0.1457,52576.16,56039.83,3463.66,0.0659,123527.09,116353.19,0.8548,7173.9,True
FIN-PROP-0004-202510,PROP-0004,2025-10-01,209772.24,195148.76,-14623.48,-0.0697,53241.69,59018.43,5776.74,0.1085,136130.34,130907.01,0.9155,5223.33,True
FIN-PROP-0004-202511,PROP-0004,2025-11-01,210200.22,177964.86,-32235.36,-0.1534,53907.21,58278.65,4371.44,0.0811,119686.21,114591.48,0.8228,5094.73,True
FIN-PROP-0004-202512,PROP-0004,2025-12-01,211369.49,185879.94,-25489.55,-0.1206,54394.4,62211.73,7817.33,0.1437,123668.21,116836.48,0.8573,6831.73,True
FIN-PROP-0005-202501,PROP-0005,2025-01-01,57081.24,45030.22,-12051.02,-0.2111,21161.01,22615.26,1454.26,0.0687,22414.96,20624.0,0.8104,1790.96,True
FIN-PROP-0005-202502,PROP-0005,2025-02-01,57509.35,50211.29,-7298.06,-0.1269,21091.86,25227.43,4135.56,0.1961,24983.86,22916.36,0.8731,2067.5,True
FIN-PROP-0005-202503,PROP-0005,2025-03-01,57822.75,50961.79,-6860.96,-0.1187,20902.95,22174.45,1271.5,0.0608,28787.34,26745.46,0.901,2041.87,True
FIN-PROP-0005-202504,PROP-0005,2025-04-01,57937.46,53776.46,-4161.0,-0.0718,20644.89,21075.79,430.91,0.0209,32700.66,30989.23,0.921,1711.43,True
FIN-PROP-0005-202505,PROP-0005,2025-05-01,57822.75,48060.65,-9762.1,-0.1688,20386.83,20734.45,347.62,0.0171,27326.2,25617.68,0.8147,1708.52,True
FIN-PROP-0005-202506,PROP-0005,2025-06-01,57509.35,51042.55,-6466.8,-0.1124,20197.91,23243.31,3045.4,0.1508,27799.24,25749.8,0.8808,2049.44,True
FIN-PROP-0005-202507,PROP-0005,2025-07-01,57081.24,49746.03,-7335.21,-0.1285,20128.76,24124.22,3995.45,0.1985,25621.81,24015.72,0.8746,1606.09,True
FIN-PROP-0005-202508,PROP-0005,2025-08-01,56653.13,48835.08,-7818.05,-0.138,20197.91,24271.64,4073.73,0.2017,24563.44,23141.1,0.8944,1422.34,True
FIN-PROP-0005-202509,PROP-0005,2025-09-01,56339.73,53498.24,-2841.49,-0.0504,20386.83,23739.92,3353.09,0.1645,29758.32,27630.75,0.9164,2127.57,True
FIN-PROP-0005-202510,PROP-0005,2025-10-01,56225.02,49016.75,-7208.27,-0.1282,20644.89,21899.27,1254.38,0.0608,27117.48,25632.21,0.8951,1485.27,True
FIN-PROP-0005-202511,PROP-0005,2025-11-01,56339.73,48899.72,-7440.01,-0.1321,20902.95,23697.02,2794.07,0.1337,25202.7,23569.94,0.8875,1632.76,True
FIN-PROP-0005-202512,PROP-0005,2025-12-01,56653.13,46924.71,-9728.42,-0.1717,21091.86,22880.51,1788.65,0.0848,24044.2,22208.75,0.8155,1835.45,True
FIN-PROP-0006-202501,PROP-0006,2025-01-01,63612.46,59949.13,-3663.33,-0.0576,20741.41,19980.9,-760.52,-0.0367,39968.23,38314.25,0.9579,1653.98,True
FIN-PROP-0006-202502,PROP-0006,2025-02-01,64089.55,60232.15,-3857.4,-0.0602,20673.64,20449.63,-224.0,-0.0108,39782.52,37490.73,0.9279,2291.79,True
FIN-PROP-0006-202503,PROP-0006,2025-03-01,64438.81,65032.37,593.56,0.0092,20488.47,21334.71,846.24,0.0413,43697.66,41019.32,0.987,2678.34,True
FIN-PROP-0006-202504,PROP-0006,2025-04-01,64566.65,58797.58,-5769.07,-0.0894,20235.52,22809.27,2573.75,0.1272,35988.31,33553.12,0.8809,2435.19,True
FIN-PROP-0006-202505,PROP-0006,2025-05-01,64438.81,60116.79,-4322.02,-0.0671,19982.58,20469.11,486.53,0.0243,39647.68,37158.46,0.932,2489.23,True
FIN-PROP-0006-202506,PROP-0006,2025-06-01,64089.55,62935.57,-1153.99,-0.018,19797.41,22843.81,3046.4,0.1539,40091.76,38480.31,0.99,1611.44,True
FIN-PROP-0006-202507,PROP-0006,2025-07-01,63612.46,61007.92,-2604.54,-0.0409,19729.64,19803.99,74.35,0.0038,41203.94,38960.66,0.9629,2243.28,True
FIN-PROP-0006-202508,PROP-0006,2025-08-01,63135.37,60006.51,-3128.85,-0.0496,19797.41,21265.24,1467.83,0.0741,38741.27,36328.51,0.9363,2412.76,True
FIN-PROP-0006-202509,PROP-0006,2025-09-01,62786.11,59071.4,-3714.71,-0.0592,19982.58,20334.55,351.97,0.0176,38736.85,36962.68,0.9562,1774.17,True
FIN-PROP-0006-202510,PROP-0006,2025-10-01,62658.27,59998.85,-2659.43,-0.0424,20235.52,22326.2,2090.67,0.1033,37672.65,35027.8,0.9201,2644.85,True
FIN-PROP-0006-202511,PROP-0006,2025-11-01,62786.11,60533.52,-2252.59,-0.0359,20488.47,21347.88,859.41,0.0419,39185.63,36754.13,0.9843,2431.51,True
FIN-PROP-0006-202512,PROP-0006,2025-12-01,63135.37,60159.07,-2976.29,-0.0471,20673.64,19616.37,-1057.27,-0.0511,40542.7,37960.77,0.9651,2581.93,True
FIN-PROP-0007-202501,PROP-0007,2025-01-01,123358.04,119311.24,-4046.8,-0.0328,31935.94,34488.86,2552.92,0.0799,84822.38,80240.18,0.9479,4582.2,True
FIN-PROP-0007-202502,PROP-0007,2025-02-01,124283.23,117067.53,-7215.7,-0.0581,31831.58,31073.91,-757.67,-0.0238,85993.61,82253.3,0.9277,3740.31,True
FIN-PROP-0007-202503,PROP-0007,2025-03-01,124960.51,115158.51,-9802.0,-0.0784,31546.48,29451.01,-2095.47,-0.0664,85707.5,82081.57,0.9373,3625.93,True
FIN-PROP-0007-202504,PROP-0007,2025-04-01,125208.41,115543.17,-9665.24,-0.0772,31157.02,32301.83,1144.82,0.0367,83241.33,79954.76,0.9314,3286.58,True
FIN-PROP-0007-202505,PROP-0007,2025-05-01,124960.51,120862.83,-4097.67,-0.0328,30767.55,30536.55,-231.0,-0.0075,90326.29,86822.84,0.9458,3503.44,True
FIN-PROP-0007-202506,PROP-0007,2025-06-01,124283.23,114652.59,-9630.63,-0.0775,30482.45,28985.62,-1496.82,-0.0491,85666.97,80666.56,0.9423,5000.41,True
FIN-PROP-0007-202507,PROP-0007,2025-07-01,123358.04,110688.91,-12669.13,-0.1027,30378.09,31047.9,669.81,0.022,79641.01,74805.54,0.9174,4835.47,True
FIN-PROP-0007-202508,PROP-0007,2025-08-01,122432.85,118198.88,-4233.97,-0.0346,30482.45,27231.37,-3251.07,-0.1067,90967.51,87411.28,0.9525,3556.23,True
FIN-PROP-0007-202509,PROP-0007,2025-09-01,121755.57,106432.85,-15322.72,-0.1258,30767.55,31873.46,1105.91,0.0359,74559.39,71455.95,0.8681,3103.44,True
FIN-PROP-0007-202510,PROP-0007,2025-10-01,121507.67,118830.05,-2677.62,-0.022,31157.02,31494.46,337.44,0.0108,87335.59,83720.8,0.9598,3614.79,True
FIN-PROP-0007-202511,PROP-0007,2025-11-01,121755.57,119370.38,-2385.2,-0.0196,31546.48,32516.1,969.62,0.0307,86854.28,82955.12,0.97,3899.16,True
FIN-PROP-0007-202512,PROP-0007,2025-12-01,122432.85,118396.0,-4036.86,-0.033,31831.58,35386.4,3554.82,0.1117,83009.6,79729.77,0.9482,3279.83,True
FIN-PROP-0008-202501,PROP-0008,2025-01-01,268459.33,260258.26,-8201.07,-0.0305,106352.24,115701.34,9349.1,0.0879,144556.92,133225.02,0.9867,11331.89,True
FIN-PROP-0008-202502,PROP-0008,2025-02-01,270472.77,241031.86,-29440.91,-0.1088,106004.72,111684.24,5679.52,0.0536,129347.62,120050.84,0.9146,9296.78,True
FIN-PROP-0008-202503,PROP-0008,2025-03-01,271946.72,270504.92,-1441.8,-0.0053,105055.26,113594.01,8538.75,0.0813,156910.91,149883.93,0.9683,7026.98,True
FIN-PROP-0008-202504,PROP-0008,2025-04-01,272486.22,242359.12,-30127.1,-0.1106,103758.28,106914.02,3155.74,0.0304,135445.1,127955.22,0.9039,7489.88,True
FIN-PROP-0008-202505,PROP-0008,2025-05-01,271946.72,255958.83,-15987.89,-0.0588,102461.31,110328.31,7867.0,0.0768,145630.52,137337.25,0.9599,8293.27,True
FIN-PROP-0008-202506,PROP-0008,2025-06-01,270472.77,253117.3,-17355.47,-0.0642,101511.85,106958.72,5446.86,0.0537,146158.59,139785.04,0.9348,6373.55,True
FIN-PROP-0008-202507,PROP-0008,2025-07-01,268459.33,239635.07,-28824.26,-0.1074,101164.33,98418.42,-2745.9,-0.0271,141216.65,131228.97,0.9039,9987.68,True
FIN-PROP-0008-202508,PROP-0008,2025-08-01,266445.89,240363.24,-26082.65,-0.0979,101511.85,106018.44,4506.59,0.0444,134344.79,128152.05,0.925,6192.75,True
FIN-PROP-0008-202509,PROP-0008,2025-09-01,264971.94,258615.38,-6356.56,-0.024,102461.31,107260.33,4799.03,0.0468,151355.05,140846.36,0.9489,10508.68,True
FIN-PROP-0008-202510,PROP-0008,2025-10-01,264432.44,248842.49,-15589.95,-0.059,103758.28,105804.63,2046.34,0.0197,143037.86,133900.89,0.9423,9136.97,True
FIN-PROP-0008-202511,PROP-0008,2025-11-01,264971.94,237039.65,-27932.29,-0.1054,105055.26,110351.85,5296.58,0.0504,126687.81,120407.8,0.9291,6280.01,True
FIN-PROP-0008-202512,PROP-0008,2025-12-01,266445.89,254940.78,-11505.11,-0.0432,106004.72,111735.64,5730.92,0.0541,143205.14,135421.52,0.9744,7783.62,True
FIN-PROP-0009-202501,PROP-0009,2025-01-01,47151.23,46352.09,-799.14,-0.0169,17525.66,17688.46,162.8,0.0093,28663.63,27241.32,0.9822,1422.31,True
FIN-PROP-0009-202502,PROP-0009,2025-02-01,47504.86,46436.22,-1068.64,-0.0225,17468.39,15953.58,-1514.81,-0.0867,30482.65,28996.89,0.9762,1485.76,True
FIN-PROP-0009-202503,PROP-0009,2025-03-01,47763.74,49057.19,1293.45,0.0271,17311.93,17396.34,84.41,0.0049,31660.85,29920.72,0.99,1740.13,True
FIN-PROP-0009-202504,PROP-0009,2025-04-01,47858.5,41092.16,-6766.34,-0.1414,17098.2,20629.32,3531.12,0.2065,20462.85,18788.93,0.8829,1673.92,True
FIN-PROP-0009-202505,PROP-0009,2025-05-01,47763.74,46647.7,-1116.04,-0.0234,16884.47,15692.96,-1191.51,-0.0706,30954.74,29490.55,0.968,1464.19,True
FIN-PROP-0009-202506,PROP-0009,2025-06-01,47504.86,45571.84,-1933.02,-0.0407,16728.01,19035.15,2307.14,0.1379,26536.69,24562.07,0.9196,1974.62,True
FIN-PROP-0009-202507,PROP-0009,2025-07-01,47151.23,41533.02,-5618.21,-0.1192,16670.74,17526.17,855.43,0.0513,24006.85,22743.14,0.8987,1263.71,True
FIN-PROP-0009-202508,PROP-0009,2025-08-01,46797.6,44708.43,-2089.17,-0.0446,16728.01,17745.35,1017.34,0.0608,26963.08,25008.17,0.9352,1954.9,True
FIN-PROP-0009-202509,PROP-0009,2025-09-01,46538.72,46065.79,-472.92,-0.0102,16884.47,16967.98,83.5,0.0049,29097.82,27787.56,0.9779,1310.26,True
FIN-PROP-0009-202510,PROP-0009,2025-10-01,46443.96,45252.6,-1191.37,-0.0257,17098.2,19633.7,2535.5,0.1483,25618.9,24406.33,0.9562,1212.57,True
FIN-PROP-0009-202511,PROP-0009,2025-11-01,46538.72,43889.77,-2648.95,-0.0569,17311.93,20242.89,2930.96,0.1693,23646.88,22072.11,0.9861,1574.77,True
FIN-PROP-0009-202512,PROP-0009,2025-12-01,46797.6,42286.58,-4511.01,-0.0964,17468.39,19159.86,1691.47,0.0968,23126.72,22026.02,0.957,1100.7,True
FIN-PROP-0010-202501,PROP-0010,2025-01-01,105255.39,103908.4,-1346.98,-0.0128,35543.17,41234.24,5691.07,0.1601,62674.16,59740.21,0.9752,2933.96,True
FIN-PROP-0010-202502,PROP-0010,2025-02-01,106044.8,106704.6,659.8,0.0062,35427.03,40241.63,4814.6,0.1359,66462.97,61982.73,0.99,4480.24,True
FIN-PROP-0010-202503,PROP-0010,2025-03-01,106622.7,106066.17,-556.52,-0.0052,35109.72,41768.65,6658.93,0.1897,64297.52,60311.07,0.9644,3986.45,True
FIN-PROP-0010-202504,PROP-0010,2025-04-01,106834.22,103968.55,-2865.67,-0.0268,34676.27,43258.21,8581.94,0.2475,60710.35,57971.37,0.9688,2738.98,True
FIN-PROP-0010-202505,PROP-0010,2025-05-01,106622.7,98945.5,-7677.2,-0.072,34242.81,39922.8,5679.98,0.1659,59022.7,54897.23,0.9448,4125.47,True
FIN-PROP-0010-202506,PROP-0010,2025-06-01,106044.8,96936.91,-9107.9,-0.0859,33925.5,39661.91,5736.4,0.1691,57275.0,54555.7,0.9283,2719.3,True
FIN-PROP-0010-202507,PROP-0010,2025-07-01,105255.39,98871.49,-6383.89,-0.0607,33809.36,37801.06,3991.7,0.1181,61070.44,57527.67,0.9556,3542.77,True
FIN-PROP-0010-202508,PROP-0010,2025-08-01,104465.97,93255.37,-11210.6,-0.1073,33925.5,38401.98,4476.47,0.132,54853.39,51221.9,0.9296,3631.49,True
FIN-PROP-0010-202509,PROP-0010,2025-09-01,103888.08,90544.37,-13343.71,-0.1284,34242.81,42364.8,8121.99,0.2372,48179.56,44497.9,0.8697,3681.66,True
FIN-PROP-0010-202510,PROP-0010,2025-10-01,103676.56,107340.19,3663.63,0.0353,34676.27,42320.75,7644.48,0.2205,65019.44,61466.84,0.9816,3552.61,True
FIN-PROP-0010-202511,PROP-0010,2025-11-01,103888.08,102808.91,-1079.17,-0.0104,35109.72,39165.5,4055.78,0.1155,63643.41,60400.63,0.9646,3242.79,True
FIN-PROP-0010-202512,PROP-0010,2025-12-01,104465.97,99758.64,-4707.33,-0.0451,35427.03,42666.46,7239.43,0.2043,57092.18,52661.71,0.99,4430.48,True
FIN-PROP-0011-202501,PROP-0011,2025-01-01,40088.91,39259.6,-829.31,-0.0207,15921.66,15154.74,-766.91,-0.0482,24104.86,22727.3,0.9654,1377.56,True
FIN-PROP-0011-202502,PROP-0011,2025-02-01,40389.58,39776.72,-612.86,-0.0152,15869.63,16585.82,716.19,0.0451,23190.9,21570.27,0.9812,1620.63,True
FIN-PROP-0011-202503,PROP-0011,2025-03-01,40609.68,35336.88,-5272.8,-0.1298,15727.49,16894.88,1167.4,0.0742,18441.99,17192.29,0.8858,1249.7,True
FIN-PROP-0011-202504,PROP-0011,2025-04-01,40690.24,34116.8,-6573.45,-0.1615,15533.32,14984.46,-548.87,-0.0353,19132.34,18177.14,0.8676,955.2,True
FIN-PROP-0011-202505,PROP-0011,2025-05-01,40609.68,39312.56,-1297.12,-0.0319,15339.16,15332.22,-6.94,-0.0005,23980.34,22418.62,0.936,1561.72,True
FIN-PROP-0011-202506,PROP-0011,2025-06-01,40389.58,38074.82,-2314.76,-0.0573,15197.02,15696.95,499.93,0.0329,22377.87,21179.67,0.9567,1198.2,True
FIN-PROP-0011-202507,PROP-0011,2025-07-01,40088.91,39068.21,-1020.7,-0.0255,15144.99,13932.32,-1212.67,-0.0801,25135.89,23852.95,0.99,1282.95,True
FIN-PROP-0011-202508,PROP-0011,2025-08-01,39788.24,39764.77,-23.47,-0.0006,15197.02,15534.34,337.33,0.0222,24230.43,22442.42,0.9575,1788.0,True
FIN-PROP-0011-202509,PROP-0011,2025-09-01,39568.14,36168.61,-3399.53,-0.0859,15339.16,15325.98,-13.17,-0.0009,20842.62,19396.6,0.9641,1446.03,True
FIN-PROP-0011-202510,PROP-0011,2025-10-01,39487.58,40405.85,918.27,0.0233,15533.32,15003.3,-530.02,-0.0341,25402.55,23791.89,0.9733,1610.66,True
FIN-PROP-0011-202511,PROP-0011,2025-11-01,39568.14,39582.19,14.05,0.0004,15727.49,15166.5,-560.99,-0.0357,24415.69,22724.71,0.9701,1690.98,True
FIN-PROP-0011-202512,PROP-0011,2025-12-01,39788.24,37382.1,-2406.14,-0.0605,15869.63,16682.23,812.6,0.0512,20699.88,19511.77,0.9499,1188.11,True
FIN-PROP-0012-202501,PROP-0012,2025-01-01,48732.87,43400.6,-5332.27,-0.1094,23021.12,25144.36,2123.24,0.0922,18256.24,16604.42,0.8814,1651.82,True
FIN-PROP-0012-202502,PROP-0012,2025-02-01,49098.37,46737.96,-2360.41,-0.0481,22945.89,21007.0,-1938.9,-0.0845,25730.96,23793.94,0.971,1937.03,True
FIN-PROP-0012-202503,PROP-0012,2025-03-01,49365.93,45389.16,-3976.77,-0.0806,22740.37,20633.64,-2106.73,-0.0926,24755.52,23493.96,0.8949,1261.56,True
FIN-PROP-0012-202504,PROP-0012,2025-04-01,49463.86,47384.02,-2079.84,-0.042,22459.63,21263.56,-1196.07,-0.0533,26120.46,24085.63,0.9678,2034.83,True
FIN-PROP-0012-202505,PROP-0012,2025-05-01,49365.93,46018.85,-3347.08,-0.0678,22178.88,20445.09,-1733.8,-0.0782,25573.76,23689.21,0.9446,1884.55,True
FIN-PROP-0012-202506,PROP-0012,2025-06-01,49098.37,46484.76,-2613.6,-0.0532,21973.36,21962.26,-11.11,-0.0005,24522.51,22887.67,0.9514,1634.84,True
FIN-PROP-0012-202507,PROP-0012,2025-07-01,48732.87,47270.0,-1462.87,-0.03,21898.14,21587.0,-311.14,-0.0142,25683.0,23650.98,0.9719,2032.02,True
FIN-PROP-0012-202508,PROP-0012,2025-08-01,48367.37,45610.95,-2756.42,-0.057,21973.36,21732.61,-240.75,-0.011,23878.34,22018.2,0.9046,1860.15,True
FIN-PROP-0012-202509,PROP-0012,2025-09-01,48099.81,45016.82,-3082.99,-0.0641,22178.88,22514.77,335.89,0.0151,22502.04,20659.17,0.9382,1842.87,True
FIN-PROP-0012-202510,PROP-0012,2025-10-01,48001.88,45592.54,-2409.33,-0.0502,22459.63,24646.01,2186.38,0.0973,20946.54,19688.82,0.9386,1257.71,True
FIN-PROP-0012-202511,PROP-0012,2025-11-01,48099.81,45519.57,-2580.24,-0.0536,22740.37,22436.96,-303.41,-0.0133,23082.61,21113.76,0.9262,1968.86,True
FIN-PROP-0012-202512,PROP-0012,2025-12-01,48367.37,46398.92,-1968.45,-0.0407,22945.89,20535.86,-2410.03,-0.105,25863.06,24412.45,0.9458,1450.62,True
FIN-PROP-0013-202501,PROP-0013,2025-01-01,250503.17,197965.09,-52538.08,-0.2097,104161.84,112694.16,8532.32,0.0819,85270.94,76750.88,0.7903,8520.06,True
FIN-PROP-0013-202502,PROP-0013,2025-02-01,252381.94,227663.72,-24718.23,-0.0979,103821.47,107536.96,3715.49,0.0358,120126.76,112523.99,0.8663,7602.76,True
FIN-PROP-0013-202503,PROP-0013,2025-03-01,253757.3,245669.79,-8087.51,-0.0319,102891.57,96214.63,-6676.94,-0.0649,149455.16,142696.86,0.9584,6758.3,True
FIN-PROP-0013-202504,PROP-0013,2025-04-01,254260.72,208259.09,-46001.63,-0.1809,101621.3,104997.25,3375.95,0.0332,103261.84,94513.57,0.8186,8748.27,True
FIN-PROP-0013-202505,PROP-0013,2025-05-01,253757.3,232864.3,-20893.0,-0.0823,100351.04,106451.46,6100.42,0.0608,126412.84,118145.57,0.9021,8267.27,True
FIN-PROP-0013-202506,PROP-0013,2025-06-01,252381.94,242989.21,-9392.74,-0.0372,99421.14,109425.94,10004.8,0.1006,133563.27,123243.64,0.9405,10319.63,True
